School,Type,Year,Date,Time,City,State,City Type,Race,Killed,Injured,Victims,Longitude,Latitude
Southeast High School,High School,2021,01/10/2021,15:17:00,Springfield,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Highland Elementary School,Elementary School,2021,01/14/2021,05:40:00,Wheaton,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Eastmoor Academy,High,2021,01/21/2021,19:30:00,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Lower Elementary School,Elementary School,2021,01/21/2021,15:00:00,Grove,Oklahoma,,Unknown,Unknown,Unknown,Unknown,,
Hattiesburg High School,High School,2021,01/27/2021,08:00:00,Hattiesburg,Mississippi,,Unknown,Unknown,Unknown,Unknown,,
Holly Hill School,K-8,2021,01/27/2021,Unknown,Holly Hill,Florida,,Unknown,Unknown,Unknown,Unknown,,
Muslim American Youth Academy,K-8,2021,02/01/2021,23:00:00,Dearborn,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Benjamin Stoddert Middle School,Middle School,2021,02/05/2021,17:00:00,Marlow Heights,Maryland,,Unknown,Unknown,Unknown,Unknown,,
School Bus,Unknown,2021,02/08/2021,15:57:00,Grand Rapids,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Forest Oak Middle School,Middle School,2021,02/10/2021,00:30:00,Fort Worth,Texas,,Unknown,Unknown,Unknown,Unknown,,
School Number 15,Elementary,2021,02/10/2021,01:51:00,Paterson,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
St. Martinville Head Start Center,Other,2021,02/10/2021,12:04:00,St. Martinville,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Roosevelt High School,High School,2021,02/14/2021,22:30:00,Minneapolis,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
Third Creek Elementary School,Elementary School,2021,02/16/2021,08:00:00,Statesville,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Christenberry Elementary School,Elementary School,2021,02/17/2021,14:45:00,Knoxville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Lincoln Middle School,Middle School,2021,02/19/2021,12:50:00,Rockford,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Houston Elementary School,Elementary School,2021,02/22/2021,04:00:00,Visalia,California,,Unknown,Unknown,Unknown,Unknown,,
Garfield Elementary School,Elementary School,2021,02/24/2021,12:10:00,Yakima,Washington,,Unknown,Unknown,Unknown,Unknown,,
George Washington Carver High School,High School,2021,02/26/2021,18:15:00,New Orleans,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Watson Chapel Junior High,Middle School,2021,03/01/2021,09:59:00,Pine Bluff,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Chesterfield Elementary School,Elementary School,2021,03/08/2021,13:30:00,Chesterfield,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Bishop Hartley High School,High School,2021,03/09/2021,20:50:00,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Sarah Moore Greene Elementary,Elementary,2021,03/09/2021,13:30:00,Knoxville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Cincinnati College Preparatory Academy,K-12,2021,03/11/2021,08:00:00,Cincinnati,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Lee Elementary School,Elementary School,2021,03/13/2021,21:00:00,Abilene,Texas,,Unknown,Unknown,Unknown,Unknown,,
Merrillville High School,High School,2021,03/15/2021,00:15:00,Merrillville,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Greenwood Elementary School,Elementary School,2021,03/18/2021,12:44:00,Louisville,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Spring Mills Middle School,Middle School,2021,03/19/2021,15:00:00,Martinsburg,West Virginia,,Unknown,Unknown,Unknown,Unknown,,
Four Corners Elementary School,Elementary School,2021,03/24/2021,16:20:00,Salem,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Castlio Elementary School,Elementary School,2021,03/26/2021,02:00:00,St Charles,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Peabody Elementary School,Elementary School,2021,03/27/2021,00:40:00,Cambridge,Massachusetts,,Unknown,Unknown,Unknown,Unknown,,
Cleveland High School,High School,2021,04/01/2021,Unknown,Cleveland,Oklahoma,,Unknown,Unknown,Unknown,Unknown,,
Selma High School,High School,2021,04/01/2021,13:00:00,Selma,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Back of the Yards College Prep High School,High School,2021,04/06/2021,14:00:00,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Peoria High School,High School,2021,04/07/2021,10:00:00,Peoria,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Bishop Noll Institute,High,2021,04/11/2021,21:20:00,Hammond,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Austin-East Magnet High School,High School,2021,04/12/2021,15:15:00,Knoxville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
San Diego High School,High School,2021,04/12/2021,20:45:00,San Diego,California,,Unknown,Unknown,Unknown,Unknown,,
Maury County Public Schools Bus No. 50,Unknown,2021,04/13/2021,16:00:00,Columbia,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Westwood Elementary School,Elementary School,2021,04/18/2021,16:15:00,Dayton,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Harker Heights High School,High School,2021,04/20/2021,23:09:00,Harker Heights,Texas,,Unknown,Unknown,Unknown,Unknown,,
Plymouth Middle School,Middle School,2021,04/26/2021,08:44:00,Plymouth,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
La Petite Academy,Other,2021,04/27/2021,16:00:00,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Smyrna Middle School,Middle School,2021,04/27/2021,22:25:00,Smyrna,Delaware,,Unknown,Unknown,Unknown,Unknown,,
Urban Dove Charter School,High,2021,04/29/2021,14:45:00,Brooklyn,New York,,Unknown,Unknown,Unknown,Unknown,,
Victor Valley High School,High School,2021,04/29/2021,12:07:00,Victorville,California,,Unknown,Unknown,Unknown,Unknown,,
Mary Castle Elementary School,Elementary School,2021,04/30/2021,13:00:00,Indianapolis,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Benjamin E Mays School,Elementary,2021,05/01/2021,23:34:00,St. Paul,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
Chicago Bulls College Prep High School,High School,2021,05/02/2021,23:10:00,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Crossroads Alternative High,High,2021,05/05/2021,14:00:00,Cutlerville,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Ware Shoals High School,High School,2021,05/05/2021,08:05:00,Ware Shoals,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Forest Lake Elementary,Elementary,2021,05/06/2021,07:00:00,Columbia,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Rigby Middle School,Middle School,2021,05/06/2021,09:15:00,Rigby,Idaho,,Unknown,Unknown,Unknown,Unknown,,
P.S. 178 Saint Clair Mckelway Grade School,K-8,2021,05/11/2021,17:02:00,Brooklyn,New York,,Unknown,Unknown,Unknown,Unknown,,
Verbum Dei High School,High School,2021,05/11/2021,15:00:00,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
San Mateo High School,High School,2021,05/14/2021,21:00:00,San Mateo,California,,Unknown,Unknown,Unknown,Unknown,,
Aurora Collegiate Academy,Elementary,2021,05/17/2021,07:45:00,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Brown Middle School,Middle School,2021,05/17/2021,Unknown,El Paso,Texas,,Unknown,Unknown,Unknown,Unknown,,
Long Reach High School,High School,2021,05/17/2021,09:25:00,Columbia,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Paterson School 6,Elementary,2021,05/25/2021,Unknown,Paterson,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
Lincoln Park High School,High School,2021,06/01/2021,19:30:00,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Dr. Charles R. Drew Elementary School,Elementary School,2021,06/06/2021,02:17:00,Arlington,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Eastern Hills High School,High School,2021,06/07/2021,17:20:00,Fort Worth,Texas,,Unknown,Unknown,Unknown,Unknown,,
Hazel Grove Elementary,Elementary,2021,06/08/2021,12:00:00,Kansas City,Kansas,,Unknown,Unknown,Unknown,Unknown,,
Musser Elementary School,Elementary School,2021,06/08/2021,20:42:00,Sharon,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
North Forest High School,High School,2021,06/09/2021,10:20:00,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
William Fleming High School,High School,2021,06/09/2021,14:00:00,Roanoke,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Holy Cross High School,High School,2021,06/10/2021,06:00:00,Waterbury,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
McCluer North High School,High School,2021,06/12/2021,01:00:00,Florissant,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Park Elementary School,Elementary School,2021,06/13/2021,08:00:00,Columbia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
William Dick School,K-8,2021,06/13/2021,23:30:00,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Eastern Hills High School,High School,2021,06/14/2021,19:30:00,Fort Worth,Texas,,Unknown,Unknown,Unknown,Unknown,,
R.J. Reynolds High School,High School,2021,06/14/2021,15:55:00,Winston-Salem,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Rowland Middle School,Middle School,2021,06/14/2021,18:00:00,Rowland,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Modesto Christian School,K-12,2021,06/20/2021,06:30:00,Modesto,California,,Unknown,Unknown,Unknown,Unknown,,
Abraham Lincoln Middle School,Middle School,2021,06/24/2021,19:35:00,Rockford,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Slater Elementary School,Elementary School,2021,06/28/2021,09:00:00,Fresno,California,,Unknown,Unknown,Unknown,Unknown,,
Dr. Louis A. Cerulli School No. 34,High,2021,07/04/2021,01:00:00,Rochester,New York,,Unknown,Unknown,Unknown,Unknown,,
Benito Juarez Community Academy,High,2021,07/08/2021,12:09:00,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Campus High School,High School,2021,07/09/2021,15:00:00,Wichita,Kansas,,Unknown,Unknown,Unknown,Unknown,,
Forest Park Elementary,Elementary,2021,07/18/2021,18:01:00,Little Rock,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Caldwell High School,High School,2021,07/19/2021,13:01:00,Caldwell,Texas,,Unknown,Unknown,Unknown,Unknown,,
Theodore Herzl Elementary School,Elementary School,2021,07/21/2021,18:05:00,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Tyee High School,High School,2021,07/27/2021,21:18:00,SeaTac,Washington,,Unknown,Unknown,Unknown,Unknown,,
Burns Middle School,Middle School,2021,08/04/2021,03:06:00,Mobile,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Chapel Hill Middle School,Middle School,2021,08/05/2021,Unknown,Douglasville,Georgia,,Unknown,Unknown,Unknown,Unknown,,
St. Francis de Sales school,K-8,2021,08/06/2021,13:00:00,Houma,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Gilbert Heights Elementary School,Elementary School,2021,08/07/2021,Unknown,Portland,Oregon,,Unknown,Unknown,Unknown,Unknown,,
East Linden Elementary School,Elementary School,2021,08/10/2021,17:12:00,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Mark Twain Elementary School,Elementary School,2021,08/11/2021,01:00:00,Colorado Springs,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Oakland Tech High School,High School,2021,08/11/2021,15:30:00,Oakland,California,,Unknown,Unknown,Unknown,Unknown,,
Lithonia High School,High School,2021,08/12/2021,15:00:00,Lithonia,Georgia,,Unknown,Unknown,Unknown,Unknown,,
North Mountain Middle School,Middle School,2021,08/12/2021,07:11:00,San Jacinto,California,,Unknown,Unknown,Unknown,Unknown,,
Campbell High SChool,High School,2021,08/13/2021,21:15:00,Smyrna,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Washington Middle School,Middle School,2021,08/13/2021,12:45:00,Albuquerque,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
Darlington County School District Buses,Unknown,2021,08/14/2021,Unknown,Hartsville,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Mary E. McDowell Elementary School,Elementary School,2021,08/14/2021,16:38:00,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Rosa Park Elementary School,Elementary School,2021,08/15/2021,18:25:00,Dale City,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Yeshiva Toras Chaim High School,High School,2021,08/17/2021,23:35:00,Denver,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Orangeburg-Wilkinson High School,High School,2021,08/18/2021,16:00:00,Orangeburg,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Central High-Bullard High,High,2021,08/20/2021,22:05:00,Fresno,California,,Unknown,Unknown,Unknown,Unknown,,
Miller Park Elementary,Elementary,2021,08/20/2021,02:30:00,Omaha,Nebraska,,Unknown,Unknown,Unknown,Unknown,,
West Middle School,Middle School,2021,08/22/2021,14:00:00,Rockford,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Aki Kurose Middle School,Middle School,2021,08/26/2021,18:30:00,Seattle,Washington,,Unknown,Unknown,Unknown,Unknown,,
Hauppauge Middle School,Middle School,2021,08/26/2021,11:45:00,Hauppauge,New York,,Unknown,Unknown,Unknown,Unknown,,
Northpointe Academy Elementary School,Elementary School,2021,08/26/2021,19:05:00,Toledo,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Academy Park High School,High School,2021,08/27/2021,21:00:00,Sharon Hill,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Apollo High School,High School,2021,08/27/2021,21:40:00,Owensboro,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Edmunds Middle School,Middle School,2021,08/27/2021,Unknown,Burlington,Vermont,,Unknown,Unknown,Unknown,Unknown,,
Freedom High School,High School,2021,08/27/2021,21:10:00,Woodbridge,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Hammond Central High School,High School,2021,08/27/2021,14:25:00,Hammond,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Santa Maria High School,High School,2021,08/28/2021,16:00:00,Santa Maria,California,,Unknown,Unknown,Unknown,Unknown,,
New Hanover High School,High School,2021,08/30/2021,11:24:00,Wilmington,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
New Town High School,High School,2021,08/30/2021,15:00:00,Owings Mills,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Okeeheelee Middle School,Middle School,2021,08/30/2021,14:30:00,West Palm Beach,Florida,,Unknown,Unknown,Unknown,Unknown,,
West Side High School,High School,2021,08/30/2021,20:30:00,Newark,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
Frazier International Magnet School,Elementary,2021,09/01/2021,05:15:00,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Mt. Tabor High School,High School,2021,09/01/2021,12:07:00,Winston-Salem,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Albuquerque Christ Lutheran Church and School,K-8,2021,09/02/2021,12:30:00,Albuquerque,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
Little Rock Central High School,High School,2021,09/02/2021,08:00:00,Little Rock,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Santee High School,High School,2021,09/02/2021,14:00:00,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Santee High School,High School,2021,09/02/2021,14:00:00,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
West Side Leadership Academy,High,2021,09/02/2021,15:00:00,Gary,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Woodland High School,High School,2021,09/02/2021,10:30:00,Stockbridge,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Buena Park School District Bus,Unknown,2021,09/03/2021,13:58:00,Buena Park,California,,Unknown,Unknown,Unknown,Unknown,,
Desert Oasis High School,High School,2021,09/03/2021,21:00:00,Las Vegas,Nevada,,Unknown,Unknown,Unknown,Unknown,,
Julius Chambers High School,High School,2021,09/03/2021,21:30:00,Charlotte,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Mt. Eden High School,High School,2021,09/03/2021,09:00:00,Hayward,California,,Unknown,Unknown,Unknown,Unknown,,
Harrisburg High School,High School,2021,09/07/2021,03:00:00,Harrisburg,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
La Vergne High School,High School,2021,09/07/2021,15:00:00,La Vergne,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
O’Maley Innovation Middle School,Middle School,2021,09/07/2021,02:30:00,Gloucester,Massachusetts,,Unknown,Unknown,Unknown,Unknown,,
Centennial High School,High School,2021,09/08/2021,13:00:00,Champaign,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Champaign School Bus,Elementary,2021,09/09/2021,14:42:00,Champaign,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Prairie Seeds Academy,High,2021,09/09/2021,19:10:00,Brooklyn Park,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
Sheep-Harney Elementary School,Elementary School,2021,09/09/2021,23:30:00,Elizabeth City,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Tri-County Education Center,6-12,2021,09/09/2021,14:30:00,Ferndale,Michigan,,Unknown,Unknown,Unknown,Unknown,,
North Area Athletic Complex,High,2021,09/10/2021,20:30:00,Arvada,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Stratford School,Elementary,2021,09/10/2021,12:28:00,Palo Alto,California,,Unknown,Unknown,Unknown,Unknown,,
Edwards Elementary School,Elementary School,2021,09/13/2021,13:30:00,Chesterfield County,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
La Vergne High School,High School,2021,09/14/2021,14:45:00,La Vergne,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
McNair Elementary School,Elementary School,2021,09/14/2021,08:45:00,Hazelwood,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Centennial High School,High School,2021,09/15/2021,13:30:00,Champaign,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Mary Todd Elementary School,Elementary School,2021,09/15/2021,16:00:00,Lexington,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Springfield Estates Elementary,Elementary,2021,09/15/2021,Unknown,Springfield,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Beechcroft High School,High School,2021,09/16/2021,21:53:00,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Orchard Ridge Elementary School,Elementary School,2021,09/16/2021,03:00:00,Madison,Wisconsin,,Unknown,Unknown,Unknown,Unknown,,
Provo High School,High School,2021,09/16/2021,12:37:00,Provo,Utah,,Unknown,Unknown,Unknown,Unknown,,
Austin-East High School,High School,2021,09/17/2021,20:49:00,Knoxville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Hermitage High School,High School,2021,09/17/2021,23:00:00,Henrico,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Parkland High School,High School,2021,09/17/2021,16:00:00,Winston-Salem,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Swainsboro High School,High School,2021,09/17/2021,21:00:00,Swainsboro,Georgia,,Unknown,Unknown,Unknown,Unknown,,
West Philadelphia High School,High School,2021,09/17/2021,20:00:00,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Widefield High School,High School,2021,09/18/2021,16:21:00,Colorado Springs,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Eastside Arts Academy,Elementary,2021,09/20/2021,18:02:00,Cleveland,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Heritage High School,High School,2021,09/20/2021,11:40:00,Newport News,Virginia,,Unknown,Unknown,Unknown,Unknown,,
East High School,High School,2021,09/21/2021,12:30:00,Wichita,Kansas,,Unknown,Unknown,Unknown,Unknown,,
Fred A. Toomer Elementary School,Elementary School,2021,09/21/2021,07:45:00,Atlanta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Lake Asbury Elementary School,Elementary School,2021,09/21/2021,05:55:00,Lake Asbury,Florida,,Unknown,Unknown,Unknown,Unknown,,
Middletown Preparatory and Fitness Academy,High,2021,09/21/2021,15:00:00,Middletown,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Vaux Big Picture High School,High School,2021,09/21/2021,14:57:00,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Lincoln-Bassett Community School,Elementary,2021,09/22/2021,11:00:00,New Haven,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
South Shore High School,High School,2021,09/22/2021,08:45:00,Brooklyn,New York,,Unknown,Unknown,Unknown,Unknown,,
Rigby Middle School,Middle School,2021,09/23/2021,Unknown,Rigby,Idaho,,Unknown,Unknown,Unknown,Unknown,,
Essex High School,High School,2021,09/24/2021,20:20:00,Essex,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Fairfield High Preparatory School,High,2021,09/24/2021,21:47:00,Fairfield,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Stewarts Creek High School,High School,2021,09/24/2021,20:30:00,Smyrna,Florida,,Unknown,Unknown,Unknown,Unknown,,
Wildwood Elementary/Middle School,Middle School,2021,09/24/2021,19:11:00,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Canterbury Elementary School,Elementary School,2021,09/27/2021,12:00:00,Crystal Lake,Illinois,,Unknown,Unknown,Unknown,Unknown,,
South Portland High School,High School,2021,09/28/2021,20:38:00,South Portland,Maine,,Unknown,Unknown,Unknown,Unknown,,
Shaker Heights Middle School,Middle School,2021,09/29/2021,18:30:00,Shaker Heights,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Cummings Elementary School,Elementary School,2021,09/30/2021,09:15:00,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Newton Elementary School,Elementary School,2021,09/30/2021,16:30:00,Newton,Mississippi,,Unknown,Unknown,Unknown,Unknown,,
Ben Davis High School,High School,2021,10/01/2021,21:00:00,Indianapolis,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Cherry Hill West High School,High School,2021,10/01/2021,20:45:00,Cherry Hill,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
Northern High School,High School,2021,10/01/2021,21:42:00,Durham,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Seventy-First High School,High School,2021,10/01/2021,22:00:00,Fayetteville,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
YES Prep,High,2021,10/01/2021,11:45:00,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
Lakeview High School,High School,2021,10/04/2021,Unknown,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Santa Fe Indian School,6-12,2021,10/04/2021,Unknown,Santa Fe,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
School of the Future,High,2021,10/04/2021,01:25:00,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Woodward High School,High School,2021,10/04/2021,16:30:00,Toledo,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Garinger High School,High School,2021,10/05/2021,07:00:00,Charlotte,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Hettinger Public School,K-12,2021,10/05/2021,09:39:00,Hettinger,North Dakota,,Unknown,Unknown,Unknown,Unknown,,
Timberview High School,High School,2021,10/06/2021,09:15:00,Arlington,Texas,,Unknown,Unknown,Unknown,Unknown,,
Antonia Pantoja Charter School,K-8,2021,10/07/2021,Unknown,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
East Chambers High School,High School,2021,10/07/2021,20:00:00,Winnie,Texas,,Unknown,Unknown,Unknown,Unknown,,
Eastway Elementary School,Elementary School,2021,10/07/2021,16:30:00,Durham,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Walkins Elementary School,Elementary School,2021,10/07/2021,21:47:00,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
Comanche Middle School,Middle School,2021,10/08/2021,16:30:00,Comanche,Oklahoma,,Unknown,Unknown,Unknown,Unknown,,
Rosemary Anderson High School,High School,2021,10/11/2021,09:00:00,Portland,Oregon,,Unknown,Unknown,Unknown,Unknown,,
El Sol Academy,Elementary,2021,10/12/2021,16:00:00,Kalamazoo,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Little Rock Central High School,High School,2021,10/12/2021,11:50:00,Little Rock,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Union High School,High School,2021,10/12/2021,14:30:00,Tulsa,Oklahoma,,Unknown,Unknown,Unknown,Unknown,,
Wendell Phillips Academy High School,High School,2021,10/12/2021,14:30:00,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Charles Kelly Elementary,Elementary,2021,10/13/2021,08:00:00,Drexel Hill,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
McDade Classical Elementary School,Elementary School,2021,10/13/2021,08:39:00,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Reiche Community School,Elementary,2021,10/14/2021,23:15:00,Portland,Maine,,Unknown,Unknown,Unknown,Unknown,,
Kepler Community School,Elementary,2021,10/15/2021,10:20:00,Fresno,California,,Unknown,Unknown,Unknown,Unknown,,
Williamson High School,High School,2021,10/15/2021,21:56:00,Mobile,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Rogers High School,High School,2021,10/17/2021,20:05:00,Rogers ,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Lincoln High School,High School,2021,10/18/2021,14:45:00,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Bethesda Academy,6-12,2021,10/21/2021,19:00:00,Savannah,Georgia,,Unknown,Unknown,Unknown,Unknown,,
P. S. 65 Mother Hale Academy,Elementary,2021,10/21/2021,14:00:00,Bronx,New York,,Unknown,Unknown,Unknown,Unknown,,
Philadelphia Learning Academy South,High,2021,10/22/2021,13:00:00,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Cathedral School,K-12,2021,10/26/2021,09:20:00,Natchez,Mississippi,,Unknown,Unknown,Unknown,Unknown,,
Jose de Diego Community Academy,K-12,2021,10/26/2021,15:46:00,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Calhoun County High School,High School,2021,10/27/2021,20:00:00,St. Matthews,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Sto Rox High School,High School,2021,10/30/2021,16:45:00,McKees Rock,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Highland Middle School,Middle School,2021,11/02/2021,15:00:00,Hobbs,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,2021,11/04/2021,Unknown,Pageland,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Oviedo High School,High School,2021,11/06/2021,22:00:00,Oviedo,Florida,,Unknown,Unknown,Unknown,Unknown,,
Theodore Roosevelt High School,High School,2021,11/08/2021,14:40:00,Bronx,New York,,Unknown,Unknown,Unknown,Unknown,,
Mesilla Valley Leadership Academy,Unknown,2021,11/09/2021,08:00:00,Las Cruces,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
Ithaca High School,High School,2021,11/10/2021,18:30:00,Ithaca,New York,,Unknown,Unknown,Unknown,Unknown,,
Poughkeepsie High School,High School,2021,11/15/2021,15:15:00,Poughkeepsie,New York,,Unknown,Unknown,Unknown,Unknown,,
Jacksonville School Bus,Unknown,2021,11/16/2021,18:00:00,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
P.S. 44,Elementary,2021,11/16/2021,14:15:00,Bronx,New York,,Unknown,Unknown,Unknown,Unknown,,
Gilmor Elementary School,Elementary School,2021,11/18/2021,19:04:00,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
