School,Race,Killed,Injured,Victims,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location
Burns Middle School,Unknown,0,0,0,-81.539104,35.425762,2003,Lawndale,North Carolina,9Mm Handgun,Unknown,13.0,M,Student,Middle School,09/25/2003,8:00 AM,No,Unknown,No,Unknown,Fall,Hallway
Rio Cazadero High School,Unknown,0,2,2,-121.435306,38.469639,2003,Sacramento,California,Officer Weapons,Police,Unknown,M,Multiple Officers,High School,10/01/2003,9:00 AM,No,Yes,No,No,Fall,Classroom; Beside Building
East Mecklenburg High School,Unknown,0,1,1,-80.756579,35.175976,2003,Charlotte,North Carolina,.25-Caliber Handgun,Unknown,15.0,M,Student,High School,11/13/2003,11:45 AM,No,No,No,No,Fall,Classroom
Columbia High School,W,0,1,1,-73.690848,42.62068,2004,East Greenbush,New York,12-Gauge Winchester Shotgun,Unknown,16.0,M,Student,High School,02/09/2004,10:30 AM,No,No,No,Yes,Winter,Bathroom
Castlemont High School,Unknown,0,2,2,-122.16302,37.75982,2004,Oakland,California,Unknown,Unknown,Unknown,Unknown,Unknown,High School,06/09/2004,12:22 PM,No,No,Yes,No,Summer,Front of School
Proviso East High School,B,1,0,1,-87.83382,41.88062,2004,Maywood,Illinois,Handgun,Unknown,Unknown,M,None,High School,08/30/2004,2:30 PM,No,No,Yes,No,Summer,Parking Lot
Wirt High School,Unknown,0,0,0,-87.26145,41.60997,2004,Gary,Indiana,Handgun,Unknown,Unknown,M,Student,High School,03/03/1989,12:09 PM,No,No,No,No,Spring,Beside Building
Wirt High School,Unknown,0,0,0,-87.26145,41.60997,2004,Gary,Indiana,Handgun,Unknown,Unknown,M,Student,High School,09/15/2004,Unknown,No,No,No,No,Fall,Hallway
Wirt High School,Unknown,0,0,0,-87.26145,41.60997,2004,Gary,Indiana,Handgun,Unknown,Unknown,M,Student,High School,06/06/2006,Unknown,No,No,No,No,Summer,Auditorium
Thurgood Marshall High School,Unknown,0,2,2,-76.54552,39.31911,2004,Baltimore,Maryland,Handgun,Unknown,16.0,M,Student,High School,10/21/2004,4:00 PM,No,No,No,No,Fall,Courtyard
