LONCOD,LATCOD,CDCODE,year_x,school,city,state,address,urbanrural,race,killed_x,injured_x,victims,type,NCESSCH,month_year_x,uid,nces_school_id,nces_district_id,district_name,date,school_year,year_y,time,day_of_week,school_type,enrollment,killed_y,injured_y,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,month_year_y
-103.665798,30.371983,4823.0,2016,Alpine High School,Alpine,Texas,704 W Sul Ross Ave,suburbtown,WHITE,0,1,1,High School,480795000124.0,2016-09,182,480795000124,4807950.0,Alpine ISD,2016-09-08,2016-2017,2016,9:00 AM,Thursday,public,292,0,1,1,targeted,14.0,f,,student,1.0,suicide,,,,,,,97.0,2.0,190,1.0,0.0,1.0,1.0,0,9-mm. semi-automatic handgun,,30.371983,-103.665798,31.32,9,12,111,Brewster County,48,48043,33.0,2016-09
-82.973741,40.00914,3903.0,2016,Linden-McKinley STEM Academy,Columbus,Ohio,1320 Duxberry Ave,urban,BLACK,0,2,2,Grades 7-12,390438000672.0,2016-10,185,390438000672,3904380.0,Columbus City School District,2016-10-13,2016-2017,2016,2:40 PM,Thursday,public,719,0,2,2,targeted,,m,,,0.0,,,,,,,,56.0,582.0,35,2.0,1.0,0.0,43.0,1,,,40.00952,-82.974011,50.0,7,12,619,Franklin County,39,39049,11.0,2016-10
-111.873061,40.60715,4904.0,2016,Union Middle School,Sandy,Utah,615 E 8000 South,suburbtown,WHITE,0,1,1,Middle School,490014200328.0,2016-10,187,490014200328,4900142.0,Canyons District,2016-10-25,2016-2017,2016,3:00 PM,Tuesday,public,907,0,1,1,targeted,14.0,m,,student,0.0,,,,,,,,592.0,15.0,226,16.0,5.0,21.0,32.0,1,,mother,40.60715,-111.873061,,6,8,389,Salt Lake County,49,49035,21.0,2016-10
-81.71303,33.521766,4502.0,2017,South Aiken High School,Aiken,South Carolina,232 E Pine Log Rd,suburbtown,WHITE,0,3,3,High School,450072001202.0,2017-01,241,450072001202,4500720.0,Aiken 01,2019-09-10,2019-2020,2019,,Tuesday,public,1405,0,0,0,unclear,,,,,,,,,,,,,840.0,391.0,99,19.0,6.0,1.0,49.0,0,,,33.521766,-81.71303,78.8,9,12,441,Aiken County,45,45003,21.0,2019-09
-117.301345,34.179349,631.0,2017,North Park Elementary School,San Bernardino,California,5378 N H St,urban,HISP,2,1,3,Elementary School,63417005375.0,2017-04,192,063417005375,634170.0,San Bernardino City Unified,2017-04-10,2016-2017,2017,10:30 AM,Monday,public,531,2,1,3,targeted,53.0,m,b,husband of teacher,1.0,suicide,,,,,,,61.0,60.0,360,9.0,3.0,0.0,38.0,0,Smith & Wesson .357 Magnum revolver,,34.179206,-117.301804,19.0,KG,6,407,San Bernardino County,6,6071,12.0,2017-04
-87.574964,41.727731,1702.0,2017,Warren Elementary School,Chicago,Illinois,9239 S Jeffery Ave,urban,BLACK,0,2,2,Elementary School,170993001166.0,2017-06,195,170993001166,1709930.0,City of Chicago SD 299,2017-06-16,2016-2017,2017,1:51 PM,Friday,public,280,0,2,2,targeted,,m,b,,0.0,,,,,,,,0.0,275.0,4,0.0,0.0,0.0,1.0,1,,,41.726922,-87.575184,14.1,PK,8,263,Cook County,17,17031,11.0,2017-06
-117.19638,47.519667,5305.0,2017,Freeman High School,Rockford,Washington,14626 S Jackson Rd,rural,WHITE,1,3,4,High School,530297000485.0,2017-09,197,530297000485,5302970.0,Freeman School District,2017-09-13,2017-2018,2017,10:00 AM,Wednesday,public,330,1,3,4,indiscriminate,15.0,m,w,student,0.0,,,,,,,,282.0,7.0,23,5.0,4.0,0.0,9.0,1,"AR-15, pistol",father,47.519667,-117.19638,16.61,9,12,69,Spokane County,53,53063,42.0,2017-09
-88.386955,39.474405,1715.0,2017,Mattoon High School,Mattoon,Illinois,2521 Walnut Ave,suburbtown,WHITE,0,1,1,High School,172505002734.0,2017-09,198,172505002734,1725050.0,Mattoon CUSD 2,2017-09-20,2017-2018,2017,11:30 AM,Wednesday,public,1047,0,1,1,targeted,14.0,m,w,student,0.0,,,,,,,,931.0,36.0,40,9.0,1.0,1.0,29.0,1,.40-caliber Ruger semiautomatic pistol,stepfather,39.474405,-88.386955,58.05,9,12,518,Coles County,17,17029,32.0,2017-09
-84.524561,42.739616,2608.0,2017,Pattengill Academy,Lansing,Michigan,626 Marshall St,urban,BLACK,0,1,1,Middle School,262115008414.0,2017-11,199,262115008414,2621150.0,Lansing Public School District,2017-11-03,2017-2018,2017,4:30 PM,Friday,public,506,0,1,1,accidental,21.0,m,b,,0.0,,,,,,,,135.0,180.0,125,11.0,4.0,0.0,51.0,0,handgun,puchased legally by shooter from Dicker & Deal,42.73889,-84.5243,27.84,4,6,393,Ingham County,26,26065,12.0,2017-11
-122.398455,40.015716,601.0,2017,Rancho Tehama Elementary School,Corning,California,17357 Stagecoach Rd,rural,HISP,0,1,1,Elementary School,60978004178.0,2017-11,201,060978004178,609780.0,Corning Union Elementary,2017-11-14,2017-2018,2017,7:50 AM,Tuesday,public,101,0,2,2,targeted and indiscriminate,44.0,m,w,had beef with family of student at school,1.0,suicide,,,,,,,44.0,2.0,49,3.0,2.0,0.0,1.0,0,handmade AR-15-type rifle,contructed from parts legally purchased by shooter,40.015716,-122.398455,5.1,KG,5,84,Tehama County,6,6103,43.0,2017-11
-107.990243,36.820718,3503.0,2017,Aztec High School,Aztec,New Mexico,500 E Chaco St,suburbtown,WHITE,2,0,2,High School,350015000135.0,2017-12,202,350015000135,3500150.0,Aztec Municipal Schools,2017-12-07,2017-2018,2017,8:04 AM,Thursday,public,905,2,0,2,indiscriminate,21.0,m,w,former student,1.0,suicide,,,,,,,495.0,7.0,225,2.0,170.0,2.0,4.0,0,9mm Glock,legally purchased by shooter,36.820644,-107.990379,52.5,9,12,432,San Juan County,35,35045,31.0,2017-12
