School,Race,Killed,Injured,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location,Time_Bin,Weapon_Category
Sandy Hook Elementary School,W,26,2,-73.277751,41.41978,2012,Newtown,Connecticut,Bushmaster Xm15-E2S Rifle,Mother,20.0,M,Former Student,Elementary School,12/14/2012,2024-05-16 09:35:00,Unknown,No,No,Yes,Winter,Classroom,Morning,Rifle
Taft Union High School,W,0,2,-119.460383,35.146256,2013,Taft,California,12-Gauge Shotgun,Older Brother,16.0,M,Student,High School,01/10/2013,2024-05-16 09:00:00,Yes,No,No,Yes,Winter,Hallway,Morning,Shotgun
Price Middle School,Unknown,0,1,-84.387442,33.708772,2013,Atlanta,Georgia,Small-Caliber Handgun,Unknown,15.0,M,Student,Middle School,01/31/2013,2024-05-16 13:50:00,No,No,Yes,No,Winter,Hallway,Afternoon,Pistol
La Salle High School,Unknown,0,0,-84.586704,39.189162,2013,Cincinnati,Ohio,.45-Caliber Semi-Automatic Handgun,Family Member,17.0,M,Student,High School,04/29/2013,2024-05-16 08:00:00,Unknown,No,No,No,Spring,Classroom,Morning,Pistol
Redland Middle School,Unknown,0,1,-80.453001,25.5369,2013,Homestead,Florida,.38 Caliber Handgun,Unknown,11.0,M,Student,Middle School,05/23/2013,2024-05-16 14:40:00,No,No,No,No,Spring,Classroom,Afternoon,Pistol
Carver High School,B,0,1,-80.2066,36.1343,2013,Winston-Salem,North Carolina,.38 Caliber Handgun,Unknown,18.0,M,Student,High School,08/30/2013,2024-05-16 14:25:00,Yes,No,No,No,Summer,Beside Building,Afternoon,Pistol
Agape Christian Academy,Unknown,0,2,-81.475051,28.57586,2013,Pine Hills,Florida,Unknown,Unknown,,Unknown,None,K-12,10/04/2013,2024-05-16 14:00:00,No,No,Yes,No,Fall,Football Field/Track,Afternoon,Unknown
Lanier High School,H,0,0,-97.708,30.3606,2013,Austin,Texas,Handgun,Unknown,16.0,M,Student,High School,10/15/2013,2024-05-16 12:04:00,No,No,No,No,Fall,Courtyard,Afternoon,Pistol
Sparks Middle School,H,1,2,-119.7694,39.5517,2013,Sparks,Nevada,Ruger Sr9C Semi-Automatic Handgun (9Mm),Father,12.0,M,Student,Middle School,10/21/2013,2024-05-16 07:15:00,Yes,No,No,Unknown,Fall,Beside Building,Morning,Pistol
Newman Elementary School,Unknown,0,3,-117.7144,34.0271,2013,Chino,California,Ar-15,Police Weapon,8.0,M,Student,Elementary School,10/23/2013,2024-05-16 11:14:00,No,No,No,No,Fall,Front of School,Morning,Other
West Orange High School,B,0,1,-81.5673,28.5428,2013,Winter Garden,Florida,Unknown,Unknown,17.0,M,Student,High School,12/12/1977,2024-05-16 16:00:00,No,No,No,No,Winter,Office,Afternoon,Unknown
Arapahoe High School,W,1,0,-104.9628,39.5817,2013,Centennial,Colorado,Savage Arms Stevens Model 320 Pump-Action Shotgun,Legally Purchased By Shooter At Cabela'S,18.0,M,Student,High School,12/13/2013,2024-05-16 00:00:00,Yes,No,No,Yes,Winter,Other,Unknown,Shotgun
Liberty Technology Magnet High School,B,0,1,-88.7593,35.675,2014,Jackson,Tennessee,Handgun,Unknown,16.0,M,Student,High School,01/09/2014,2024-05-16 14:21:00,No,No,No,No,Winter,Parking Lot,Afternoon,Pistol
Berrendo Middle School,W,0,3,-104.5115,33.4736,2014,Roswell,New Mexico,Shotgun,Unknown,12.0,M,Student,Middle School,01/14/2014,2024-05-16 07:30:00,Yes,No,No,Yes,Winter,Gym,Morning,Shotgun
King Elementary School,Unknown,0,0,-76.2998,40.0344,2014,Lancaster,Pennsylvania,Handgun,Unknown,,Unknown,Unknown,Elementary School,01/14/2014,2024-05-16 14:48:00,Unknown,No,Unknown,No,Winter,Playground,Afternoon,Pistol
Delaware Valley Charter School,B,0,2,-75.1446,40.0331,2014,Philadelphia,Pennsylvania,Handgun,Purchased From Friend,17.0,M,Student,High,01/17/2014,2024-05-16 15:30:00,No,No,No,No,Winter,Gym,Afternoon,Pistol
Rebound High School,B,0,1,-89.227812,37.727439,2014,Carbondale,Illinois,Handgun,Unknown,18.0,M,Student,High School,01/27/2014,2024-05-16 12:00:00,Unknown,No,No,No,Winter,Parking Lot,Afternoon,Pistol
President Theodore Roosevelt High,Unknown,0,1,-157.8372,21.3104,2014,Honolulu,Hawaii,Unknown,Department Issued,,Unknown,Police Officer,High,01/28/2014,2024-05-16 08:30:00,Unknown,Unknown,Unknown,Unknown,Winter,Office,Morning,Unknown
Bend High School,Unknown,0,0,-121.2959,44.0523,2014,Bend,Oregon,Hunting Rifle,Legally Owned By Shooter,17.0,M,Student,High School,02/07/2014,2024-05-16 12:00:00,No,No,No,No,Winter,Classroom,Afternoon,Rifle
Salisbury High School,B,0,1,-80.4849,35.6648,2014,Salisbury,North Carolina,9Mm Gun (Type Unknown),Unknown,17.0,M,Unknown,High School,02/10/2014,2024-05-16 00:00:00,No,No,No,No,Winter,Beside Building,Unknown,Unknown
Benjamin Banneker High School,Unknown,0,0,-84.5176,33.593,2014,College Park,Georgia,Unknown,Unknown,,Unknown,Unknown,High School,03/25/2014,2024-05-16 13:00:00,No,No,No,No,Spring,Parking Lot,Afternoon,Unknown
Benjamin Banneker High School,Unknown,0,2,-84.5176,33.59297,2017,College Park,Georgia,Small-Caliber Handgun,Unknown,,Unknown,Unknown,High School,03/25/2014,2024-05-16 13:00:00,No,No,No,No,Spring,Parking Lot,Afternoon,Pistol
Reynolds High School,W,1,1,-122.4026,45.5285,2014,Troutdale,Oregon,M4 Ar-15 Rifle,Brother,15.0,M,Student,High School,06/10/2014,2024-05-16 08:07:00,No,Unknown,No,Yes,Summer,Gym,Morning,Rifle
Stellar Leadership Academy,Unknown,0,1,-80.243461,25.84814,2014,Miami,Florida,Unknown,Unknown,,Unknown,Unknown,High,09/09/2014,,No,No,No,No,Fall,Beside Building,Unknown,Unknown
Albemarle High School,Unknown,0,1,-80.193152,35.371268,2014,Albemarle,North Carolina,Handgun,Unknown,15.0,M,Student,High School,09/30/2014,2024-05-16 07:40:00,No,No,No,No,Fall,Courtyard,Morning,Pistol
Marysville Pilchuck High School,N,4,1,-122.154021,48.09582,2014,Marysville,Washington,.40-Caliber Beretta Px4 Storm Handgun,Father,15.0,M,Student,High School,10/24/2014,2024-05-16 10:39:00,Yes,Yes,No,Yes,Fall,Cafeteria,Morning,Pistol
North Thurston High School,Unknown,0,0,-122.83241,47.051956,2015,Lacey,Washington,.357 Magnum,Father,16.0,M,Student,High School,04/27/2015,2024-05-16 07:24:00,Yes,No,No,Yes,Spring,Hallway,Morning,Other
Harrisburg High School,W,0,1,-96.6998,43.43212,2015,Harrisburg,South Dakota,Handgun,Unknown,16.0,M,Student,High School,09/30/2015,2024-05-16 10:00:00,No,No,No,Yes,Fall,Office,Morning,Pistol
Karen Wagner High School,B,0,0,-98.3578,29.45738,2015,San Antonio,Texas,Unknown,Unknown,22.0,F,Friend Of Student,High School,10/15/2015,2024-05-16 09:00:00,No,No,No,No,Fall,Parking Lot,Morning,Unknown
Vereen School,Unknown,0,0,-83.804368,31.175943,2015,Moultrie,Georgia,Semiautomatic Pistol,Department Issued,,M,Student,Other,11/05/2015,,No,No,No,No,Fall,Classroom,Unknown,Pistol
Benjamin Franklin High School,Unknown,0,0,-75.162,39.96367,2016,Philadelphia,Pennsylvania,.45-Caliber Handgun,Unknown,16.0,M,Unknown,High School,01/29/2016,2024-05-16 12:00:00,No,No,No,No,Winter,Hallway,Afternoon,Pistol
Independence High School,Unknown,1,0,-112.221,33.53216,2016,Glendale,Arizona,9Mm Beretta Pistol,"Classmate, Who Took From Parents",15.0,F,Student,High School,02/12/2016,2024-05-16 07:53:00,No,Yes,No,No,Winter,Courtyard,Morning,Pistol
Madison High School,W,0,4,-84.4433,39.53385,2016,Middletown,Ohio,Sig Sauer P238,Family Home,14.0,M,Student,High School,02/29/2016,2024-05-16 11:15:00,No,No,No,Yes,Winter,Cafeteria,Morning,Other
Huffman High School,B,0,1,-86.682,33.61291,2016,Birmingham,Alabama,Unknown,Unknown,19.0,M,Brother Of Student,High School,08/03/2004,2024-05-16 08:45:00,No,No,No,No,Summer,Parking Lot,Morning,Unknown
Alpine High School,Unknown,0,1,-103.665798,30.371983,2016,Alpine,Texas,9-Mm. Semi-Automatic Handgun,Unknown,14.0,F,Student,High School,09/08/2016,2024-05-16 09:00:00,No,Yes,No,No,Fall,Bathroom,Morning,Pistol
Townville Elementary School,W,1,2,-82.903471,34.56311,2016,Townville,South Carolina,.40 Caliber Pistol,Father,14.0,M,Former Student,Elementary School,09/28/2016,2024-05-16 13:45:00,Yes,No,No,Yes,Fall,Playground,Afternoon,Pistol
Union Middle School,Unknown,0,1,-111.873061,40.60715,2016,Sandy,Utah,Unknown,Mother,14.0,M,Student,Middle School,10/25/2016,2024-05-16 15:00:00,No,No,No,No,Fall,Beside Building,Afternoon,Unknown
Bay City Western High School,W,0,1,-84.0783,43.60478,2016,Auburn,Michigan,.380-Caliber Sig Sauer Pistol,Legally Purchased By Shooter,50.0,M,Resource Officer,High School,11/11/2016,2024-05-16 12:30:00,No,No,No,No,Fall,Office,Afternoon,Pistol
Scotlandville Magnet High School,Unknown,0,0,-91.177851,30.53365,2017,Baton Rouge,Louisiana,Handgun,Unknown,14.0,M,Student,High School,02/06/2017,2024-05-16 12:00:00,Unknown,Unknown,No,No,Winter,Outside on School Property,Afternoon,Pistol
Robert E. Lee High School,M,0,1,-86.271649,32.378702,2017,Montgomery,Alabama,.40-Caliber Handgun,Unknown,16.0,M,Student,High School,11/24/1992,,No,No,No,No,Fall,Bathroom,Unknown,Pistol
North Park Elementary School,B,2,1,-117.301804,34.179206,2017,San Bernardino,California,Smith & Wesson .357 Magnum Revolver,Unknown,53.0,M,Husband Of Teacher,Elementary School,04/10/2017,2024-05-16 10:30:00,No,Yes,No,No,Spring,Classroom,Morning,Pistol
Moss Bluff Elementary School,W,0,1,-93.2032,30.29966,2017,Lake Charles,Louisiana,.380 Caliber Semi-Automatic Handgun,"Father'S Gun, Kept By 17 Year Old Who Shared Room With Shooter",7.0,M,Student,Elementary School,05/15/2017,2024-05-16 07:50:00,No,No,No,No,Spring,Inside School Building,Morning,Pistol
Greensboro High School,Unknown,0,0,-87.589,32.70713,2017,Greensboro,Alabama,.22 Caliber Revolver,Unknown,,M,Student,High School,05/24/2017,2024-05-16 11:30:00,Unknown,Unknown,No,No,Spring,Front of School,Morning,Pistol
Warren Elementary School,B,0,2,-87.575184,41.726922,2017,Chicago,Illinois,Unknown,Unknown,,M,Unknown,Elementary School,06/16/2017,2024-05-16 13:51:00,No,No,Yes,No,Summer,Field (General),Afternoon,Unknown
Columbus Scioto 6-12,B,0,0,-82.9958,39.90163,2017,Columbus,Ohio,.38-Caliber Handgun,Unknown,18.0,M,Unknown,6-12,09/08/2017,2024-05-16 08:33:00,Unknown,Unknown,No,No,Fall,Hallway,Morning,Pistol
Freeman High School,W,1,3,-117.19638,47.519667,2017,Rockford,Washington,"Ar-15, Pistol",Father,15.0,M,Student,High School,09/13/2017,2024-05-16 10:00:00,Yes,No,No,Yes,Fall,Hallway,Morning,Pistol
Mattoon High School,W,0,1,-88.386955,39.474405,2017,Mattoon,Illinois,.40-Caliber Ruger Semiautomatic Pistol,Stepfather,14.0,M,Student,High School,09/20/2017,2024-05-16 11:30:00,Yes,Yes,No,Yes,Fall,Cafeteria,Morning,Pistol
Pattengill Academy,B,0,1,-84.5243,42.73889,2017,Lansing,Michigan,Handgun,Puchased Legally By Shooter From Dicker & Deal,21.0,M,Unknown,Middle,11/03/2017,2024-05-16 16:30:00,No,No,Unknown,No,Fall,Parking Lot,Afternoon,Pistol
Aztec High School,W,2,0,-107.990379,36.820644,2017,Aztec,New Mexico,9Mm Glock,Legally Purchased By Shooter,21.0,M,Former Student,High School,12/07/2017,2024-05-16 08:04:00,Unknown,No,No,Yes,Winter,Classroom,Morning,Pistol
High Point Central High School,B,0,0,-80.0231,35.95795,2017,High Point,North Carolina,Handgun,Unknown,15.0,M,Unknown,High School,12/11/2017,2024-05-16 14:08:00,No,No,Yes,No,Winter,Cafeteria,Afternoon,Pistol
Italy High School,W,0,1,-96.878968,32.181129,2018,Italy,Texas,Semi-Automatic .380 Caliber Handgun,Unknown,16.0,M,Student,High School,01/22/2018,2024-05-16 07:53:00,No,Yes,No,Yes,Winter,Cafeteria,Morning,Pistol
Marshall County High School,W,2,14,-88.332917,36.912835,2018,Benton,Kentucky,Handgun,Stepfather'S Bedroom,15.0,M,Student,High School,01/23/2018,2024-05-16 07:57:00,Unknown,No,No,Yes,Winter,Hallway,Morning,Pistol
Murphy High School,B,0,0,-88.0867,30.6828,2018,Mobile,Alabama,Revolver,Stolen,16.0,M,Student,High School,01/25/2018,2024-05-16 11:20:00,Unknown,No,No,No,Winter,Beside Building,Morning,Pistol
Salvador B. Castro Middle School,Unknown,0,5,-118.265,34.06169,2018,Los Angeles,California,Semi-Automatic Handgun,Unknown,12.0,F,Student,Middle School,02/01/2018,2024-05-16 08:55:00,Yes,No,No,No,Winter,Classroom,Morning,Pistol
Marjory Stoneman Douglas High School,W,17,17,-80.269365,26.304483,2018,Parkland,Florida,Smith & Wesson M&P15,Legally Purchased By Shooter,19.0,M,Former Student (Expelled),High School,02/14/2018,2024-05-16 14:21:00,No,No,No,Yes,Winter,Hallway,Afternoon,Other
Dalton High School,W,0,0,-84.99053,34.77972,2018,Dalton,Georgia,.38-Caliber Snub-Nosed Revolver,Unknown,53.0,M,Teacher,High School,02/28/2018,2024-05-16 11:30:00,No,No,No,No,Winter,Classroom,Morning,Pistol
Seaside High School,W,0,3,-121.838,36.62444,2018,Seaside,California,Glock 21 .45-Caliber Handgun,Department Issued,,M,Teacher,High School,03/13/2018,2024-05-16 13:20:00,No,No,No,No,Spring,Classroom,Afternoon,Pistol
Big Sky High School,Unknown,0,0,-114.057737,46.850867,2018,Missoula,Montana,Pistol,Department Issued,,M,Resource Officer,High School,03/16/2018,2024-05-16 12:45:00,Unknown,Unknown,Unknown,Unknown,Spring,Parking Lot,Afternoon,Pistol
Douglass Park Elementary School,Unknown,0,1,-76.3393,36.81828,2018,Portsmouth,Virginia,Unknown,Unknown,,Unknown,Unknown,Elementary School,03/19/2018,2024-05-16 16:23:00,No,No,No,No,Spring,Parking Lot,Afternoon,Unknown
Great Mills High School,W,1,1,-76.4875,38.24743,2018,Great Mills,Maryland,Glock Semi-Automatic Handgun,Father,17.0,M,Student,High School,03/20/2018,2024-05-16 07:55:00,No,Yes,No,No,Spring,Hallway,Morning,Pistol
Jackson High School,Unknown,0,0,-84.4185,42.2499,2018,Jackson,Michigan,Handgun,Unknown,,Unknown,Unknown,High School,04/19/2018,2024-05-16 13:44:00,No,No,Unknown,No,Spring,Off School Property,Afternoon,Pistol
Forest High School,Unknown,0,1,-82.066682,29.14362,2018,Ocala,Florida,Shotgun,Unknown,19.0,M,Former Student,High School,04/20/2018,2024-05-16 08:39:00,No,No,No,Yes,Spring,Classroom,Morning,Shotgun
Highland High School,H,0,1,-106.592413,35.074841,2018,Albuquerque,New Mexico,Handgun,Owner'S Gun,,M,Father Of Student,High School,04/25/2018,2024-05-16 14:30:00,No,No,No,No,Spring,Front of School,Afternoon,Pistol
Highland High School,Unknown,0,1,-118.175561,34.591755,2018,Palmdale,California,Rifle,Unknown,14.0,M,Student,High School,05/11/2018,2024-05-16 07:05:00,Unknown,No,No,No,Spring,Bathroom,Morning,Rifle
Dixon High School,W,0,0,-89.488508,41.847128,2018,Dixon,Illinois,Rifle,Mother,19.0,M,Student,High School,05/16/2018,2024-05-16 08:00:00,Yes,No,No,Unknown,Spring,Gym,Morning,Rifle
Santa Fe High School,W,10,13,-95.143149,29.393257,2018,Santa Fe,Texas,Remington 870 Shotgun And A .38-Caliber Revolver,Unknown,17.0,M,Student,High School,05/18/2018,2024-05-16 07:45:00,Yes,No,No,Yes,Spring,Classroom,Morning,Pistol
Noblesville West Middle School,Unknown,0,2,-86.029001,40.07825,2018,Noblesville,Indiana,".22 Caliber Gun, .45 Caliber Gun",Unknown,13.0,M,Student,Middle School,05/25/2018,2024-05-16 09:00:00,No,No,No,No,Spring,Classroom,Morning,Other
Villa Heights Elementary School,B,0,0,-80.812768,35.236843,2018,Charlotte,North Carolina,.45 Caliber Pistol,Stolen,34.0,M,Former Boyfriend Of Student'S Mother,Elementary School,08/30/2018,2024-05-16 08:30:00,No,Yes,No,No,Summer,Parking Lot,Morning,Pistol
Lawrence Orr Elementary School,B,0,0,-80.743914,35.225991,2018,Charlotte,North Carolina,Unknown,Unknown,24.0,M,Unknown,Elementary School,09/24/2018,2024-05-16 09:00:00,No,Unknown,Unknown,No,Fall,Parking Lot,Morning,Unknown
Denali Montessori Elementary School,B,0,1,-149.881113,61.213281,2018,Anchorage,Alaska,Sig Sauer .40 Caliber Handgun,Unknown,26.0,M,Boyfriend Of Parent,Elementary School,10/03/2018,2024-05-16 10:00:00,No,Yes,No,No,Fall,Front of School,Morning,Pistol
Battle Creek Academy,Unknown,0,0,-85.207497,42.33419,2018,Battle Creek,Michigan,Unknown,Unknown,,Unknown,Unknown,Elementary,10/12/2018,2024-05-16 13:00:00,No,No,Unknown,No,Fall,Off School Property,Afternoon,Unknown
Butler High School,B,1,0,-80.6916,35.1203,2018,Matthews,North Carolina,.380 Pistol,Stolen,16.0,M,Student,High School,10/29/2018,2024-05-16 07:15:00,Yes,No,No,No,Fall,Hallway,Morning,Pistol
Simonsdale Elementary School,B,0,1,-76.36628,36.82682,2018,Portsmouth,Virginia,Handgun,Unknown,29.0,M,Parent Of Student,Elementary School,11/20/2018,2024-05-16 16:00:00,No,No,No,No,Fall,Hallway,Afternoon,Pistol
Dennis Intermediate School,Unknown,0,0,-84.9114,39.832,2018,Richmond,Indiana,Handgun And A Rifle,Unknown,14.0,M,Student,Middle,12/13/2018,2024-05-16 08:00:00,Yes,No,No,Yes,Winter,Hallway,Morning,Rifle
Cascade Middle School,Unknown,0,0,-123.1667,44.0788,2019,Eugene,Oregon,Handgun,Unknown,30.0,M,Father Of Student,Middle School,01/11/2019,2024-05-16 10:27:00,No,No,No,No,Winter,Front of School,Morning,Pistol
Frederick Douglass High School,Unknown,0,1,-76.6549,39.3148,2019,Baltimore,Maryland,Smith And Wesson .40 Caliber Gun,Unknown,25.0,M,Brother Of Student,High School,10/29/1971,2024-05-16 15:00:00,No,No,No,No,Fall,Parking Lot,Afternoon,Other
V. Sue Cleveland High School,Unknown,0,0,-106.641929,35.312773,2019,Rio Rancho,New Mexico,.45 Caliber Handgun,Unknown,16.0,M,Student,High School,02/14/2019,2024-05-16 07:00:00,Unknown,Yes,Unknown,Yes,Winter,Hallway,Morning,Pistol
Highlands Elementary School,W,0,0,-94.6409,39.0168,2019,Mission,Kansas,Handgun,Unknown,26.0,M,Neighbor Of School,Elementary School,03/01/2019,2024-05-16 13:30:00,No,No,No,No,Spring,Off School Property,Afternoon,Pistol
Blountsville Elementary School,W,0,1,-86.586,34.0847,2019,Blountsville,Alabama,Taurus .380 Pistol,Legally Purchased By Shooter,72.0,M,Substitute Teacher,Elementary School,03/22/2019,2024-05-16 11:30:00,No,No,No,No,Spring,Classroom,Morning,Pistol
Saint Clair Evans Academy,Unknown,0,0,-81.695138,30.371086,2019,Jacksonville,Florida,Unknown,Unknown,,Unknown,Unknown,Elementary,04/03/2019,2024-05-16 11:00:00,No,No,Unknown,No,Spring,Off School Property,Morning,Unknown
Menta Academy North,H,0,0,-87.83950925,42.35333175,2019,Waukegan,Illinois,2 Handguns,Unknown,27.0,M,Unknown,Other,06/10/2019,2024-05-16 13:45:00,No,No,No,No,Summer,Front of School,Afternoon,Pistol
Hendley Elementary School,Unknown,0,0,-76.999555,38.828872,2019,Washington,District Of Columbia,Unknown,Unknown,,Unknown,Unknown,Elementary School,05/30/2019,2024-05-16 22:40:00,No,No,Yes,No,Spring,Front of School,Evening,Unknown
Blount Elementary School,B,0,0,-86.1324,32.3106,2019,Montgomery,Alabama,Pistol,Unknown,38.0,M,Father Of Student,Elementary School,08/08/2019,2024-05-16 07:30:00,No,No,No,No,Summer,Parking Lot,Morning,Pistol
Hollenbeck Middle School,Unknown,0,1,-118.212583,34.036765,2019,Los Angeles,California,Unknown,Unknown,,Unknown,Unknown,Middle School,08/27/2019,2024-05-16 11:00:00,No,No,Unknown,No,Summer,Cafeteria,Morning,Unknown
South Aiken High School,Unknown,0,0,-81.71303,33.521766,2019,Aiken,South Carolina,Unknown,Unknown,,Unknown,Unknown,High School,01/27/2017,2024-05-16 21:00:00,No,No,Yes,No,Winter,Beside Building,Evening,Unknown
Ridgway High School,Unknown,0,1,-122.7226,38.4497,2019,Santa Rosa,California,Unknown,Unknown,17.0,Unknown,Student,High School,10/22/2019,2024-05-16 08:56:00,No,No,Yes,No,Fall,Beside Building,Morning,Unknown
Achievement Academy,Unknown,0,1,-76.571382,39.366066,2019,Baltimore,Maryland,Unknown,Unknown,,Unknown,Unknown,High,11/11/2019,2024-05-16 14:00:00,No,No,No,No,Fall,Parking Lot,Afternoon,Unknown
Esteban Torres High School,Unknown,1,0,-118.175531,34.041846,2019,Los Angeles,California,Unknown,Police,,Unknown,Sheriff'S Deputy,High School,11/13/2019,2024-05-16 09:00:00,Unknown,Unknown,Unknown,Unknown,Fall,Courtyard,Morning,Unknown
Waukesha South High School,W,0,1,-88.2237,42.993,2019,Waukesha,Wisconsin,Handgun,Department Issued,,M,Resource Officer,High School,12/02/2019,2024-05-16 10:07:00,Unknown,No,No,Unknown,Winter,Classroom,Morning,Pistol
Oshkosh West High School,W,0,1,-88.5736,44.0225,2019,Oshkosh,Wisconsin,Handgun,Department Issued,,M,Resource Officer,High School,12/03/2019,2024-05-16 09:12:00,Unknown,Unknown,Unknown,Unknown,Winter,Hallway,Morning,Pistol
Decatur High School,Unknown,0,0,-86.97216,34.593282,2019,Decatur,Alabama,Unknown,Unknown,22.0,M,Unknown,High School,12/10/2019,2024-05-16 08:20:00,No,Yes,No,No,Winter,Parking Lot,Morning,Unknown
Sacred Heart School,Unknown,0,0,-74.083408,40.706963,2019,Jersey City,New Jersey,Unknown,Unknown,,Unknown,Unknown,K-8,12/10/2019,2024-05-16 12:30:00,No,No,No,No,Winter,Off School Property,Afternoon,Unknown
West High School,Unknown,0,0,-111.900444,40.774742,2020,Salt Lake City,Utah,Unknown,Unknown,,Unknown,Student,High School,05/24/2004,2024-05-16 06:00:00,No,Yes,No,No,Spring,Parking Lot,Morning,Unknown
Cesar Chavez Community School,Unknown,0,0,-106.583882,35.059669,2020,Albuquerque,New Mexico,Unknown,Unknown,,Unknown,Unknown,Other,02/21/2020,2024-05-16 11:20:00,No,No,Unknown,No,Winter,Front of School,Morning,Unknown
Sagemont School,B,0,1,-80.424081,26.13796,2020,Weston,Florida,Unknown,Unknown,55.0,M,Security Guard,K-12,03/05/2020,2024-05-16 12:20:00,No,No,No,No,Spring,Parking Lot,Afternoon,Unknown
Lincoln Elementary School,Unknown,0,1,-78.0429,34.2618,2020,Leland,North Carolina,Unknown,Unknown,,Unknown,Unknown,Elementary School,11/13/2020,2024-05-16 14:15:00,No,No,No,No,Fall,Playground,Afternoon,Unknown
Hendersonville Middle School,Unknown,0,1,-82.473,35.3219,2020,Hendersonville,North Carolina,Unknown,Unknown,12.0,M,Unknown,Middle School,11/25/2020,2024-05-16 07:45:00,Unknown,Unknown,No,Unknown,Fall,Gym,Morning,Unknown
Watson Chapel Junior High,B,1,0,-92.065921,34.189927,2021,Pine Bluff,Arkansas,Handgun,Unknown,15.0,M,Unknown,Middle School,03/01/2021,2024-05-16 09:59:00,No,No,No,No,Spring,Hallway,Morning,Pistol
Bishop Hartley High School,Unknown,0,0,-82.910821,39.94497,2021,Columbus,Ohio,Unknown,Unknown,,Unknown,Unknown,High School,03/09/2021,2024-05-16 20:50:00,No,Unknown,Unknown,No,Spring,Gym,Evening,Unknown
Selma High School,B,0,0,-87.022637,32.428416,2021,Selma,Alabama,Handgun,Unknown,15.0,M,Unknown,High School,03/13/1991,2024-05-16 09:35:00,No,No,No,No,Spring,Gym,Morning,Pistol
Smyrna Middle School,B,1,0,-75.623778,39.302595,2021,Smyrna,Delaware,Handgun,Unknown,47.0,M,Unknown,Middle School,04/27/2021,2024-05-16 22:25:00,No,Yes,No,No,Spring,Parking Lot,Evening,Pistol
Ware Shoals High School,W,0,0,-82.238603,34.393145,2021,Ware Shoals,South Carolina,Handgun,Mom'S Gun; Kept In Her Car,15.0,M,Unknown,High School,05/05/2021,2024-05-16 08:05:00,Unknown,No,No,Unknown,Spring,Parking Lot,Morning,Pistol
Rigby Middle School,Unknown,0,3,-111.941927,43.668498,2021,Rigby,Idaho,Handgun,Unknown,,F,Student,Middle School,05/06/2021,2024-05-16 09:15:00,Unknown,No,No,Yes,Spring,Inside School Building,Morning,Pistol
Lithonia High School,Unknown,0,1,-84.1294,33.725,2021,Lithonia,Georgia,Handgun,Unknown,,Unknown,Resource Officer,High School,08/12/2021,2024-05-16 15:00:00,Unknown,Unknown,Unknown,Unknown,Fall,Parking Lot,Afternoon,Pistol
Washington Middle School,Unknown,1,0,-106.661691,35.086144,2021,Albuquerque,New Mexico,Handgun,Unknown,13.0,M,Unknown,Middle School,08/13/2021,2024-05-16 12:45:00,Yes,No,No,No,Fall,Playground,Afternoon,Pistol
Orangeburg-Wilkinson High School,Unknown,0,3,-80.836538,33.524095,2021,Orangeburg,South Carolina,Unknown,Unknown,14.0,M,Unknown,High School,08/18/2021,2024-05-16 16:00:00,Unknown,No,Unknown,No,Fall,Parking Lot,Afternoon,Unknown
New Hanover High School,B,0,1,-77.9324,34.2374,2021,Wilmington,North Carolina,Unknown,Unknown,15.0,M,Unknown,High School,08/30/2021,2024-05-16 11:24:00,Yes,No,No,No,Fall,Hallway,Morning,Unknown
Tri-County Education Center,Unknown,0,0,-83.159362,42.450386,2021,Ferndale,Michigan,Unknown,Unknown,,M,Unknown,6-12,09/09/2021,2024-05-16 14:30:00,No,No,Unknown,No,Fall,Parking Lot,Afternoon,Unknown
Heritage High School,Unknown,0,2,-76.4272,37.0063,2021,Newport News,Virginia,Unknown,Unknown,15.0,M,Unknown,High School,09/20/2021,2024-05-16 11:40:00,No,No,Unknown,No,Fall,Hallway,Morning,Unknown
Timberview High School,B,0,4,-97.076321,32.622073,2021,Arlington,Texas,Handgun,Unknown,18.0,M,Student,High School,10/06/2021,2024-05-16 09:15:00,No,No,No,No,Fall,Classroom,Morning,Pistol
Little Rock Central High School,Unknown,0,0,-92.298954,34.736827,2021,Little Rock,Arkansas,Unknown,Unknown,,Unknown,Unknown,High School,09/02/2021,2024-05-16 08:00:00,No,No,No,No,Fall,Front of School,Morning,Unknown
Wendell Phillips Academy High School,Unknown,0,2,-87.6199,41.8244,2021,Chicago,Illinois,Unknown,Unknown,,Unknown,Unknown,High School,10/12/2021,2024-05-16 14:30:00,No,No,Unknown,Yes,Fall,Entryway,Afternoon,Unknown
Cathedral School,Unknown,0,0,-91.394805,31.562163,2021,Natchez,Mississippi,Unknown,Unknown,,Unknown,Unknown,K-12,10/26/2021,2024-05-16 09:20:00,No,No,No,No,Fall,Classroom,Morning,Unknown
Poughkeepsie High School,Unknown,0,0,-73.9138,41.6948,2021,Poughkeepsie,New York,.38-Caliber Handgun,Unknown,13.0,M,Student,High School,11/15/2021,2024-05-16 15:15:00,No,No,No,No,Fall,Front of School,Afternoon,Pistol
P.S. 44,Unknown,0,0,-73.891,40.8425,2021,Bronx,New York,Handgun,Unknown,45.0,M,Unknown,Elementary,11/16/2021,2024-05-16 14:15:00,No,No,Unknown,No,Fall,Front of School,Afternoon,Pistol
