School,Type,Date,City,State,Time
Blount Elementary School,Elementary,2019-08-08,Montgomery,AL,7:30 AM
West Side High School,High,2019-08-09,Newark,NJ,21:22:00
East Magnet High School,High,2019-08-15,Nashville,TN,
Lakewood Stadium,High,2019-08-17,Atlanta,GA,9:00 PM
Saint Patrick School,High,2019-08-20,Carlisle,PA,6:00 PM
Parkway North High School,High,2019-08-23,St. Louis,MO,8:15 PM
Peek's Chapel Elementary School,Elementary,2019-08-23,Conyers,GA,6:35 PM
Roosevelt High School,High,2019-08-23,St. Louis,MO,5:00 AM
William C. Longstreth Elementary School,Elementary,2019-08-24,Philadelphia,PA,7:00 PM
Hollenbeck Middle School,High,2019-08-27,Los Angeles,CA,11:00 AM
Roosevelt High School,High,2019-08-27,Roosevelt,NY,9:00 AM
Central Catholic High School,High,2019-08-30,Toledo,OH,9:30 PM
Kinston High School,High,2019-08-30,Kingston,NC,10:00 PM
Ladd-Peebles Stadium,High,2019-08-30,Mobile,AL,22:00:00
Northwood Elementary School,Elementary,2019-09-02,Baltimore,MD,8:00 PM
Center Point High School,High,2019-09-06,Center Point,AL,9:00 PM
McKee Middle School,Middle,2019-09-06,Jeannette,PA,21:20:00
West Palmer High School,High,2019-09-06,Morrisville,PA,10:00 PM
South Aiken High School,High,2019-09-10,Aiken,SC,3:30 PM
Manhattan High School,High,2019-09-12,Manhattan,KS,6:45 PM
Ethel M. Gildersleeve Middle School,Middle,2019-09-13,Newport News,VA,9:34 PM
Granger High School,High,2019-09-13,West Valley City,UT,8:30 PM
Eastern Hills High School,High,2019-09-14,Fort Worth,TX,3:45 PM
Illinois Central School Bus,,2019-09-16,Kankakee,IL,3:20 PM
Phoebus High School,High,2019-09-16,Hampton,VA,11:55 AM
Simon Gratz High School Mastery Charter,High,2019-09-20,Philadelphia,PA,7:30 PM
De Anza High School,High,2019-09-27,Richmond,CA,21:00:00
Zebulon B. Vance High School,High,2019-09-27,Charlotte,NC,8:30 PM
South Atlanta High School,High,2019-10-02,Atlanta,GA,8:30 PM
Sheridan High School,High,2019-10-08,Sheridan,CO,7:45 PM
Westbury High School,High,2019-10-08,Houston,TX,
Greenhalge Elementary School,Elementary,2019-10-09,Lowell,MA,1:34 PM
Rayne High School,High,2019-10-11,Rayne,LA,9:00 PM
George Washington Carver High School,High,2019-10-15,New Orleans,LA,9:40 AM
Creekside High School,High,2019-10-18,South Fulton,GA,10:00 PM
Fond Du Lac Ojibwe High School,High,2019-10-18,Cloquet,MN,10:00:00
Woodward High School,High,2019-10-18,Toledo,OH,9:04 PM
Brick Memorial High School,High,2019-10-22,Brick Township,NJ,13:45:00
Ridgway High School,High,2019-10-22,Santa Rosa,CA,08:56:00
Laurel Woods Elementary School,Elementary,2019-10-27,Laurel,MD,7:42 PM
New Dawn Charter High School,High,2019-10-29,New York,NY,4:00 PM
Edison High School,High,2019-11-08,Stockton,CA,9:45 PM
Robert L. Thornton Elementary School,Elementary,2019-11-08,Dallas,TX,8:00 PM
Achievement Academy,High,2019-11-11,Baltimore,MD,2:00 PM
Esteban Torres High School,High,2019-11-13,Los Angeles,CA,9:00 AM
Saugus High School,High,2019-11-14,Santa Clarita,CA,07:38:00
Pleasantville High School,High,2019-11-15,Pleasantville,NJ,9:30 PM
Rich Central High School,High,2019-11-21,Olympia Fields,IL,3:00 PM
Searles Elementary School,Elementary,2019-11-24,Union City,CA,01:26:00
