School,Type,Date,City,State,Time
Great Falls High School,High,2020-11-17,Great Falls,MT,18:55:00
Weatherford High School,High,2020-11-17,Weatherford,TX,14:00:00
Abe Hubert Elementary School,Elementary,2020-11-25,Garden City,KS,12:45:00
Hendersonville Middle School,Middle,2020-11-25,Hendersonville,NC,07:45:00
East Chicago Academy of Visual and Performing Arts,High,2020-12-06,Chicago,IL,
Tabb Middle School,Middle,2020-12-11,Yorktown,VA,16:38:00
Dubois Elementary School,Elementary,2020-12-16,Chicago,IL,23:30:00
Youth Under Construction Youth Center,High,2020-12-25,Pompano Beach,FL,23:00:00
Rogers High School,High,2020-12-29,Spokane,WA,17:30:00
Perth Bible Church and Christian Academy,6-12,2021-01-04,Johnstown,NY,
Southeast High School,High,2021-01-10,Springfield,IL,15:17:00
Highland Elementary School,Elementary,2021-01-14,Wheaton,MD,05:40:00
Eastmoor Academy,High,2021-01-21,Columbus,OH,19:30:00
Lower Elementary School,Elementary,2021-01-21,Grove,OK,15:00:00
Hattiesburg High School,High,2021-01-27,Hattiesburg,MS,08:00:00
Holly Hill School,K-8,2021-01-27,Holly Hill,FL,
Muslim American Youth Academy,K-8,2021-02-01,Dearborn,MI,23:00:00
Benjamin Stoddert Middle School,Middle,2021-02-05,Marlow Heights,MD,17:00:00
School Bus,,2021-02-08,Grand Rapids,MI,15:57:00
Forest Oak Middle School,Middle,2021-02-10,Fort Worth,TX,00:30:00
School Number 15,Elementary,2021-02-10,Paterson,NJ,01:51:00
St. Martinville Head Start Center,Other,2021-02-10,St. Martinville,LA,12:04:00
Roosevelt High School,High,2021-02-14,Minneapolis,MN,22:30:00
Third Creek Elementary School,Elementary,2021-02-16,Statesville,NC,08:00:00
Christenberry Elementary School,Elementary,2021-02-17,Knoxville,TN,14:45:00
Lincoln Middle School,Middle,2021-02-19,Rockford,IL,12:50:00
Houston Elementary School,Elementary,2021-02-22,Visalia,CA,04:00:00
Garfield Elementary School,Elementary,2021-02-24,Yakima,WA,12:10:00
George Washington Carver High School,High,2021-02-26,New Orleans,LA,18:15:00
Watson Chapel Junior High,Junior High,2021-03-01,Pine Bluff,AR,09:59:00
Chesterfield Elementary School,Elementary,2021-03-08,Chesterfield,SC,13:30:00
Bishop Hartley High School,High,2021-03-09,Columbus,OH,20:50:00
Sarah Moore Greene Elementary,Elementary,2021-03-09,Knoxville,TN,13:30:00
Cincinnati College Preparatory Academy,K-12,2021-03-11,Cincinnati,OH,08:00:00
Lee Elementary School,Elementary,2021-03-13,Abilene,TX,21:00:00
Merrillville High School,High,2021-03-15,Merrillville,IN,00:15:00
Greenwood Elementary School,Elementary,2021-03-18,Louisville,KY,12:44:00
Spring Mills Middle School,Middle,2021-03-19,Martinsburg,WV,15:00:00
Four Corners Elementary School,Elementary,2021-03-24,Salem,OR,16:20:00
Castlio Elementary School,Elementary,2021-03-26,St Charles,MO,02:00:00
Peabody Elementary School,Elementary,2021-03-27,Cambridge,MA,00:40:00
Cleveland High School,High,2021-04-01,Cleveland,OK,
Selma High School,High,2021-04-01,Selma,AL,13:00:00
Back of the Yards College Prep High School,High,2021-04-06,Chicago,IL,14:00:00
Peoria High School,High,2021-04-07,Peoria,IL,10:00:00
Bishop Noll Institute,High,2021-04-11,Hammond,IN,21:20:00
Austin-East Magnet High School,High,2021-04-12,Knoxville,TN,15:15:00
San Diego High School,High,2021-04-12,San Diego,CA,20:45:00
Maury County Public Schools Bus No. 50,,2021-04-13,Columbia,TN,16:00:00
Westwood Elementary School,Elementary,2021-04-18,Dayton,OH,16:15:00
Harker Heights High School,High,2021-04-20,Harker Heights,TX,23:09:00
Plymouth Middle School,Middle,2021-04-26,Plymouth,MN,08:44:00
La Petite Academy,Other,2021-04-27,Memphis,TN,16:00:00
Smyrna Middle School,Middle,2021-04-27,Smyrna,DE,22:25:00
Urban Dove Charter School,High,2021-04-29,Brooklyn,NY,14:45:00
Victor Valley High School,High,2021-04-29,Victorville,CA,12:07:00
Mary Castle Elementary School,Elementary,2021-04-30,Indianapolis,IN,13:00:00
Benjamin E Mays School,Elementary,2021-05-01,St. Paul,MN,23:34:00
Chicago Bulls College Prep High School,High,2021-05-02,Chicago,IL,23:10:00
Crossroads Alternative High,High,2021-05-05,Cutlerville,MI,14:00:00
Ware Shoals High School,High,2021-05-05,Ware Shoals,SC,08:05:00
Forest Lake Elementary,Elementary,2021-05-06,Columbia,SC,07:00:00
Rigby Middle School,Middle,2021-05-06,Rigby,ID,09:15:00
P.S. 178 Saint Clair Mckelway Grade School,K-8,2021-05-11,Brooklyn,NY,17:02:00
Verbum Dei High School,High,2021-05-11,Los Angeles,CA,15:00:00
San Mateo High School,High,2021-05-14,San Mateo,CA,21:00:00
Aurora Collegiate Academy,Elementary,2021-05-17,Memphis,TN,07:45:00
Brown Middle School,Middle,2021-05-17,El Paso,TX,
Long Reach High School,High,2021-05-17,Columbia,MD,09:25:00
Paterson School 6,Elementary,2021-05-25,Paterson,NJ,
Lincoln Park High School,High,2021-06-01,Chicago,IL,19:30:00
Dr. Charles R. Drew Elementary School,Elementary,2021-06-06,Arlington,VA,02:17:00
Eastern Hills High School,High,2021-06-07,Fort Worth,TX,17:20:00
Hazel Grove Elementary,Elementary,2021-06-08,Kansas City,KS,12:00:00
Musser Elementary School,Elementary,2021-06-08,Sharon,PA,20:42:00
North Forest High School,High,2021-06-09,Houston,TX,10:20:00
William Fleming High School,High,2021-06-09,Roanoke,VA,14:00:00
Holy Cross High School,High,2021-06-10,Waterbury,CT,06:00:00
McCluer North High School,High,2021-06-12,Florissant,MO,01:00:00
Park Elementary School,Elementary,2021-06-13,Columbia,PA,08:00:00
William Dick School,K-8,2021-06-13,Philadelphia,PA,23:30:00
Eastern Hills High School,High,2021-06-14,Fort Worth,TX,19:30:00
R.J. Reynolds High School,High,2021-06-14,Winston-Salem,NC,15:55:00
Rowland Middle School,Middle,2021-06-14,Rowland,NC,18:00:00
Modesto Christian School,K-12,2021-06-20,Modesto,CA,06:30:00
Abraham Lincoln Middle School,Middle,2021-06-24,Rockford,IL,19:35:00
Slater Elementary School,Elementary,2021-06-28,Fresno,CA,09:00:00
Dr. Louis A. Cerulli School No. 34,High,2021-07-04,Rochester,NY,01:00:00
Benito Juarez Community Academy,High,2021-07-08,Chicago,IL,12:09:00
Campus High School,High,2021-07-09,Wichita,KS,15:00:00
Forest Park Elementary,Elementary,2021-07-18,Little Rock,AL,18:01:00
Caldwell High School,High,2021-07-19,Caldwell,TX,13:01:00
Theodore Herzl Elementary School,Elementary,2021-07-21,Chicago,IL,18:05:00
Tyee High School,High,2021-07-27,SeaTac,WA,21:18:00
Burns Middle School,Middle,2021-08-04,Mobile,AL,03:06:00
Chapel Hill Middle School,Middle,2021-08-05,Douglasville,GA,
St. Francis de Sales school,K-8,2021-08-06,Houma,LA,13:00:00
Gilbert Heights Elementary School,Elementary,2021-08-07,Portland,OR,
East Linden Elementary School,Elementary,2021-08-10,Columbus,OH,17:12:00
Mark Twain Elementary School,Elementary,2021-08-11,Colorado Springs,CO,01:00:00
Oakland Tech High School,High,2021-08-11,Oakland,CA,15:30:00
Lithonia High School,High,2021-08-12,Lithonia,GA,15:00:00
North Mountain Middle School,Middle,2021-08-12,San Jacinto,CA,07:11:00
Campbell High SChool,High,2021-08-13,Smyrna,GA,21:15:00
Washington Middle School,Middle,2021-08-13,Albuquerque,NM,12:45:00
Darlington County School District Buses,,2021-08-14,Hartsville,SC,
Mary E. McDowell Elementary School,Elementary,2021-08-14,Chicago,IL,16:38:00
Rosa Park Elementary School,Elementary,2021-08-15,Dale City,VA,18:25:00
Yeshiva Toras Chaim High School,High,2021-08-17,Denver,CO,23:35:00
Orangeburg-Wilkinson High School,High,2021-08-18,Orangeburg,SC,16:00:00
Central High-Bullard High,High,2021-08-20,Fresno,CA,22:05:00
Miller Park Elementary,Elementary,2021-08-20,Omaha,NE,02:30:00
West Middle School,Middle,2021-08-22,Rockford,IL,14:00:00
Aki Kurose Middle School,Middle,2021-08-26,Seattle,WA,18:30:00
Hauppauge Middle School,Middle,2021-08-26,Hauppauge,NY,11:45:00
Northpointe Academy Elementary School,Elementary,2021-08-26,Toledo,OH,19:05:00
Academy Park High School,High,2021-08-27,Sharon Hill,PA,21:00:00
Apollo High School,High,2021-08-27,Owensboro,KY,21:40:00
Edmunds Middle School,Middle,2021-08-27,Burlington,VT,
Freedom High School,High,2021-08-27,Woodbridge,VA,21:10:00
Hammond Central High School,High,2021-08-27,Hammond,IN,14:25:00
Santa Maria High School,High,2021-08-28,Santa Maria,CA,16:00:00
New Hanover High School,High,2021-08-30,Wilmington,NC,11:24:00
New Town High School,High,2021-08-30,Owings Mills,MD,15:00:00
Okeeheelee Middle School,Middle,2021-08-30,West Palm Beach,FL,14:30:00
West Side High School,High,2021-08-30,Newark,NJ,20:30:00
Frazier International Magnet School,Elementary,2021-09-01,Chicago,IL,05:15:00
Mt. Tabor High School,High,2021-09-01,Winston-Salem,NC,12:07:00
Albuquerque Christ Lutheran Church and School,K-8,2021-09-02,Albuquerque,NM,12:30:00
Little Rock Central High School,High,2021-09-02,Little Rock,AR,08:00:00
Santee High School,High,2021-09-02,Los Angeles,CA,14:00:00
Santee High School,High,2021-09-02,Los Angeles,CA,14:00:00
West Side Leadership Academy,High,2021-09-02,Gary,IN,15:00:00
Woodland High School,High,2021-09-02,Stockbridge,GA,10:30:00
Buena Park School District Bus,,2021-09-03,Buena Park,CA,13:58:00
Desert Oasis High School,High,2021-09-03,Las Vegas,NV,21:00:00
Julius Chambers High School,High,2021-09-03,Charlotte,NC,21:30:00
Mt. Eden High School,High,2021-09-03,Hayward,CA,09:00:00
Harrisburg High School,High,2021-09-07,Harrisburg,PA,03:00:00
La Vergne High School,High,2021-09-07,La Vergne,TN,15:00:00
O’Maley Innovation Middle School,Middle,2021-09-07,Gloucester,MA,02:30:00
Centennial High School,High,2021-09-08,Champaign,IL,13:00:00
Champaign School Bus,Elementary,2021-09-09,Champaign,IL,14:42:00
Prairie Seeds Academy,High,2021-09-09,Brooklyn Park,MN,19:10:00
Sheep-Harney Elementary School,Elementary,2021-09-09,Elizabeth City,NC,23:30:00
Tri-County Education Center,6-12,2021-09-09,Ferndale,MI,14:30:00
North Area Athletic Complex,High,2021-09-10,Arvada,CO,20:30:00
Stratford School,Elementary,2021-09-10,Palo Alto,CA,12:28:00
Edwards Elementary School,Elementary,2021-09-13,Chesterfield County,SC,13:30:00
La Vergne High School,High,2021-09-14,La Vergne,TN,14:45:00
McNair Elementary School,Elementary,2021-09-14,Hazelwood,MO,08:45:00
Centennial High School,High,2021-09-15,Champaign,IL,13:30:00
Mary Todd Elementary School,Elementary,2021-09-15,Lexington,KY,16:00:00
Springfield Estates Elementary,Elementary,2021-09-15,Springfield,VA,
Beechcroft High School,High,2021-09-16,Columbus,OH,21:53:00
Orchard Ridge Elementary School,Elementary,2021-09-16,Madison,WI,03:00:00
Provo High School,High,2021-09-16,Provo,UT,12:37:00
Austin-East High School,High,2021-09-17,Knoxville,TN,20:49:00
Hermitage High School,High,2021-09-17,Henrico,VA,23:00:00
Parkland High School,High,2021-09-17,Winston-Salem,NC,16:00:00
Swainsboro High School,High,2021-09-17,Swainsboro,GA,21:00:00
West Philadelphia High School,High,2021-09-17,Philadelphia,PA,20:00:00
Widefield High School,High,2021-09-18,Colorado Springs,CO,16:21:00
Eastside Arts Academy,Elementary,2021-09-20,Cleveland,OH,18:02:00
Heritage High School,High,2021-09-20,Newport News,VA,11:40:00
East High School,High,2021-09-21,Wichita,KS,12:30:00
Fred A. Toomer Elementary School,Elementary,2021-09-21,Atlanta,GA,07:45:00
Lake Asbury Elementary School,Elementary,2021-09-21,Lake Asbury,FL,05:55:00
Middletown Preparatory and Fitness Academy,High,2021-09-21,Middletown,OH,15:00:00
Vaux Big Picture High School,High,2021-09-21,Philadelphia,PA,14:57:00
Lincoln-Bassett Community School,Elementary,2021-09-22,New Haven,CT,11:00:00
South Shore High School,High,2021-09-22,Brooklyn,NY,08:45:00
Rigby Middle School,Middle,2021-09-23,Rigby,ID,
Essex High School,High,2021-09-24,Essex,VA,20:20:00
Fairfield High Preparatory School,High,2021-09-24,Fairfield,AL,21:47:00
Stewarts Creek High School,High,2021-09-24,Smyrna,FL,20:30:00
Wildwood Elementary/Middle School,K-8,2021-09-24,Baltimore,MD,19:11:00
Canterbury Elementary School,Elementary,2021-09-27,Crystal Lake,IL,12:00:00
South Portland High School,High,2021-09-28,South Portland,ME,20:38:00
Shaker Heights Middle School,Middle,2021-09-29,Shaker Heights,OH,18:30:00
Cummings Elementary School,K-8,2021-09-30,Memphis,TN,09:15:00
Newton Elementary School,Elementary,2021-09-30,Newton,MS,16:30:00
Ben Davis High School,High,2021-10-01,Indianapolis,IN,21:00:00
Cherry Hill West High School,High,2021-10-01,Cherry Hill,NJ,20:45:00
Northern High School,High,2021-10-01,Durham,NC,21:42:00
Seventy-First High School,High,2021-10-01,Fayetteville,NC,22:00:00
YES Prep,High,2021-10-01,Houston,TX,11:45:00
Lakeview High School,High,2021-10-04,Chicago,IL,
Santa Fe Indian School,6-12,2021-10-04,Santa Fe,NM,
School of the Future,High,2021-10-04,Philadelphia,PA,01:25:00
Woodward High School,High,2021-10-04,Toledo,OH,16:30:00
Garinger High School,High,2021-10-05,Charlotte,NC,07:00:00
Hettinger Public School,K-12,2021-10-05,Hettinger,ND,09:39:00
Timberview High School,High,2021-10-06,Arlington,TX,09:15:00
Antonia Pantoja Charter School,K-8,2021-10-07,Philadelphia,PA,
East Chambers High School,High,2021-10-07,Winnie,TX,20:00:00
Eastway Elementary School,Elementary,2021-10-07,Durham,NC,16:30:00
Walkins Elementary School,Elementary,2021-10-07,Washington,DC,21:47:00
Comanche Middle School,Middle,2021-10-08,Comanche,OK,16:30:00
Rosemary Anderson High School,High,2021-10-11,Portland,OR,09:00:00
El Sol Academy,Elementary,2021-10-12,Kalamazoo,MI,16:00:00
Little Rock Central High School,High,2021-10-12,Little Rock,AR,11:50:00
Union High School,High,2021-10-12,Tulsa,OK,14:30:00
Wendell Phillips Academy High School,High,2021-10-12,Chicago,IL,14:30:00
Charles Kelly Elementary,Elementary,2021-10-13,Drexel Hill,PA,08:00:00
McDade Classical Elementary School,Elementary,2021-10-13,Chicago,IL,08:39:00
Reiche Community School,Elementary,2021-10-14,Portland,ME,23:15:00
Kepler Community School,Elementary,2021-10-15,Fresno,CA,10:20:00
Williamson High School,6-12,2021-10-15,Mobile,AL,21:56:00
Rogers High School,High,2021-10-17,Rogers ,AR,20:05:00
Lincoln High School,High,2021-10-18,Philadelphia,PA,14:45:00
Bethesda Academy,6-12,2021-10-21,Savannah,GA,19:00:00
P. S. 65 Mother Hale Academy,Elementary,2021-10-21,Bronx,NY,14:00:00
Philadelphia Learning Academy South,High,2021-10-22,Philadelphia,PA,13:00:00
Cathedral School,K-12,2021-10-26,Natchez,MS,09:20:00
Jose de Diego Community Academy,K-12,2021-10-26,Chicago,IL,15:46:00
Calhoun County High School,High,2021-10-27,St. Matthews,SC,20:00:00
Sto Rox High School,High,2021-10-30,McKees Rock,PA,16:45:00
Highland Middle School,Middle,2021-11-02,Hobbs,NM,15:00:00
Central High School,High,2021-11-04,Pageland,SC,
Oviedo High School,High,2021-11-06,Oviedo,FL,22:00:00
Theodore Roosevelt High School,High,2021-11-08,Bronx,NY,14:40:00
Mesilla Valley Leadership Academy,,2021-11-09,Las Cruces,NM,08:00:00
Ithaca High School,High,2021-11-10,Ithaca,NY,18:30:00
Poughkeepsie High School,High,2021-11-15,Poughkeepsie,NY,15:15:00
Jacksonville School Bus,,2021-11-16,Jacksonville,FL,18:00:00
P.S. 44,Elementary,2021-11-16,Bronx,NY,14:15:00
Gilmor Elementary School,Elementary,2021-11-18,Baltimore,MD,19:04:00
Hinkley High School,High,2021-11-19,Aurora,CO,13:50:00
Cleveland School Bus,,2021-11-23,Cleveland,OH,07:30:00
Thornton Township High School,High,2021-11-24,Harvey,IL,15:00:00
Westmount High School,High,2021-11-26,San Jose,CA,21:00:00
Cesar Chavez High School,High,2021-11-29,Phoenix,AZ,15:00:00
West Middle School,Middle,2021-11-29,Rockford,IL,16:00:00
Humboldt High School,High,2021-11-30,Humboldt,TN,20:30:00
Los Angeles School Bus,,2021-11-30,Los Angeles,CA,17:30:00
Oxford High School,High,2021-11-30,Oxford,MI,12:51:00
Whitehall Yearling High School,High,2021-11-30,Whitehall,OH,18:00:00
Sam Rayburn High School,High,2021-12-01,Pasadena,TX,11:00:00
Garfield High School,High,2021-12-02,Seattle,WA,16:30:00
Blytheville High School,High,2021-12-03,Blytheville,AR,21:15:00
Susan E. Wagner High School,High,2021-12-06,Staten Island,NY,15:00:00
Wilmington Park Elementary School,Elementary,2021-12-06,Wilmington,CA,16:46:00
Haines Elementary School,Elementary,2021-12-07,Chicago,IL,12:30:00
Ewing Marion Kauffman School,High,2021-12-08,Kansas City,MO,20:30:00
St. Matthews Elementary School,Elementary,2021-12-08,Louisville,KY,21:30:00
Greater Oaks Charter School,Elementary,2021-12-09,New York,NY,09:30:00
Jesse C. Carson High,High,2021-12-09,China Grove,NC,14:00:00
Canal Winchester High School,High,2021-12-10,Canal Winchester,OH,05:50:00
Edward A. Upthegrove Elementary School,Elementary,2021-12-11,LaBelle,FL,14:00:00
Jones County High School,High,2021-12-11,Gray,GA,20:15:00
School No. 17,K-8,2021-12-12,Rochester,NY,18:30:00
East River High School,High,2021-12-13,Orlando,FL,15:00:00
West Charlotte High School,High,2021-12-13,Charlotte,NC,14:16:00
Menchville High School,High,2021-12-14,Newport News,VA,20:40:00
South Division High School,High,2021-12-14,Milwaukee,WI,11:30:00
Eau Claire High School,High,2021-12-16,Columbia,SC,15:00:00
P.S. 026 Jesse Owens,Elementary,2021-12-16,Brooklyn,NY,08:55:00
Woodrow Wilson Junior High,High,2021-12-17,Dayton,TX,15:00:00
Catawba College (high school tournament),High,2021-12-29,Salisbury,NC,20:15:00
Childpeace Montessori School,K-8,2022-01-03,Portland,OR,13:00:00
Columbus School Bus,,2022-01-03,Columbus,OH,05:40:00
Auburn High School,High,2022-01-04,Rockford,IL,13:50:00
Florin High School,High,2022-01-06,Sacramento,CA,15:40:00
Valley High School,High,2022-01-11,Albuquerque,NM,19:40:00
Gaithersburg High School,High,2022-01-14,Gaithersburg,MD,06:50:00
Pyburn Elementary School,Elementary,2022-01-17,Houston,TX,11:20:00
Anacostia High School,High,2022-01-19,Washington,DC,16:00:00
Manor High School,High,2022-01-19,Portsmouth,VA,15:00:00
Pittsburgh Oliver Citywide Academy,K-12,2022-01-19,Pittsburgh,PA,14:00:00
Seminole High School,High,2022-01-19,Sanford,FL,23:57:00
Magruder High School,High,2022-01-21,Rockville,MD,12:53:00
McNair High School,High,2022-01-21,Atlanta,GA,14:30:00
Sunrise Mountain High School,High,2022-01-24,Las Vegas,NV,12:30:00
Bartram High School,High,2022-01-26,Philadelphia,PA,14:54:00
Montgomery Elementary School,Elementary,2022-01-27,Houston,TX,22:00:00
Carroll High School,High,2022-01-28,Monroe,LA,19:00:00
Beloit Memorial High School,High,2022-01-29,Beloit,WI,20:55:00
Academy Park High School,High,2022-02-01,Sharon Hill,PA,15:20:00
Alessandro Volta Elementary School,Elementary,2022-02-01,Chicago,IL,10:00:00
Rufus King High School,High,2022-02-01,Milwaukee,WI,19:45:00
South Education Center,K-12,2022-02-01,Richfield,MN,12:04:00
Logan County Community Technology Center,High,2022-02-02,Russellville,KY,08:15:00
Speight Middle School,Middle,2022-02-03,Stantonsburg,NC,16:40:00
Southwest DeKalb High School,High,2022-02-04,Decatur,GA,14:00:00
Wenonah High School,High,2022-02-04,Birmingham,AL,21:15:00
Catonsville High School,High,2022-02-08,Catonsville,MD,15:00:00
Mount Vernon High School,High,2022-02-08,Mount Vernon,NY,14:30:00
McKinley High School,High,2022-02-09,Buffalo,NY,15:45:00
Minneapolis School Bus,Elementary,2022-02-09,Minneapolis,MN,14:15:00
Eagle Academy,K-8,2022-02-11,Washington,DC,14:00:00
Lake City Middle School,Middle,2022-02-14,Lake City,FL,15:00:00
McClure Elementary School,Elementary,2022-02-17,Grandview,WA,17:00:00
Tewksbury High School,High,2022-02-18,Tewksbury,MA,20:10:00
Camelot Elementary School,Elementary,2022-02-19,Chesapeake,VA,13:07:00
McColm High School,High,2022-02-20,McColm,MS,16:50:00
Wilson Middle School,Middle,2022-02-20,Wilson,OK,03:30:00
John Carroll Elementary School,Elementary,2022-02-21,Hyattsville,MD,17:20:00
Alief ISD Center for Advanced Careers,High,2022-02-22,Houston,TX,16:30:00
Liberty Point International Middle School,Middle,2022-02-22,Pueblo,CO,15:20:00
Woodbridge High School,High,2022-02-23,Woodbridge,VA,20:10:00
Sonnie Hereford Elementary,Elementary,2022-02-25,Huntsville,AL,10:30:00
West Mesa High School,High,2022-02-25,Albuquerque,NM,08:00:00
Dunbar High School,High,2022-02-27,Washington,DC,05:10:00
Boys and Girls High School,High,2022-02-28,Brooklyn,NY,14:50:00
JW Sexton High School,High,2022-03-03,Lansing,MI,13:15:00
Olathe East High School,High,2022-03-04,Olathe,KS,10:30:00
East High School,High,2022-03-07,Des Moines,IA,02:50:00
Espanola Valley High School,High,2022-03-09,Espanola,NM,21:00:00
Kimball High School,High,2022-03-09,Houston,TX,19:00:00
North Gardens High School,High,2022-03-09,Miami Gardens,FL,13:30:00
Cora L. Rice Elementary School,Elementary,2022-03-10,Landover,MD,02:15:00
Hamilton Middle School,K-8,2022-03-10,Memphis,TN,08:00:00
Rock Canyon High School,High,2022-03-10,Highlands Ranch,CO,09:22:00
De Anza High School,High,2022-03-11,Richmond,CA,15:00:00
Fairland Middle School,Middle,2022-03-11,Proctorville,OH,12:00:00
Jerstad-Agerholm Elementary School,Elementary,2022-03-11,Racine,WI,
New Foundations Charter School,K-8,2022-03-13,Philadelphia,PA,
Kraemer Middle School,Middle,2022-03-14,Placentia,CA,09:00:00
Eisenhower High School,High,2022-03-15,Yakima,WA,15:00:00
Forest Park Middle School,Middle,2022-03-15,Forest Park,GA,
Paul Lawrence Dunbar High School,High,2022-03-15,Baltimore,MD,15:20:00
Tech Academy Boston,High,2022-03-15,Boston,MA,17:40:00
Loma Vista Middle School,Middle,2022-03-16,Riverside,CA,17:00:00
Redington Jr/Sr High School,6-12,2022-03-17,Wasilla,AK,14:30:00
Barrington High School,High,2022-03-18,Barrington,IL,08:00:00
Madison High School,High,2022-03-18,Mansfield,OH,10:00:00
,High,2022-03-18,Providence,RI,14:50:00
Central Baldwin Middle School,Middle,2022-03-19,Loxley,AL,13:50:00
Desert Canyon Middle School,Middle,2022-03-21,Scottsdale,AZ,11:15:00
Leap of Faith Middle School,Middle,2022-03-21,Pascagoula,MS,13:00:00
Mahone Middle School,Middle,2022-03-21,Kenosha,WI,03:25:00
James Madison Middle School,Middle,2022-03-22,Roanoke,VA,16:00:00
New Smyrna Beach High School,High,2022-03-22,New Smyrna Beach,FL,15:20:00
Woodrow Wilson High School,High,2022-03-22,Dallas,TX,15:00:00
Rippon Middle School,Middle,2022-03-24,Woodbridge,VA,11:11:00
Brighton High School,High,2022-03-25,Memphis,TN,
Highland High School,High,2022-03-25,Salt Lake City,UT,12:00:00
Royse City High School,High,2022-03-25,Royse City,TX,08:15:00
North Crowley High School,High,2022-03-28,Fort Worth,TX,16:30:00
Oakdale Elementary School,Elementary,2022-03-28,Charlotte,NC,11:30:00
Lucy Addison Middle School,Middle,2022-03-29,Roanoke,VA,14:15:00
Western High School,High,2022-03-29,Las Vegas,NV,14:15:00
Booker T Washington High School,High,2022-03-30,Atlanta,GA,14:30:00
Kingman High School,High,2022-03-30,Kingman,AZ,15:00:00
 West Philadelphia Achievement Charter Elementary School,Elementary,2022-03-31,Philadelphia,PA,08:45:00
Tanglewood Middle School,Middle,2022-03-31,Greenville,SC,12:30:00
Bloomington High School South,High,2022-04-03,Bloomington,IN,19:10:00
Erie High School,High,2022-04-05,Erie,PA,09:40:00
Ripley Middle School,Middle,2022-04-06,Ripley,WV,08:00:00
Roosevelt High School,High,2022-04-06,Portland,OR,21:30:00
St. Monica Catholic School,Elementary,2022-04-06,Mercer Island,WA,13:30:00
Lynn English High School,High,2022-04-10,Lynn,MA,01:00:00
Pine Bluff High School,High,2022-04-11,Pine Bluff,AR,14:45:00
Shelters Elementary School,Elementary,2022-04-13,Southgate,MI,13:00:00
Neshoba Central High School,High,2022-04-14,Philadelphia,MS,12:15:00
Gar-Field High School,High,2022-04-15,Woodbridge,VA,21:30:00
Meredith Middle School,Middle,2022-04-16,Des Moines,IA,18:50:00
Mott-Regent High School,K-12,2022-04-21,Mott,ND,14:58:00
Edmund Burke School,6-12,2022-04-22,Washington,DC,15:20:00
Houck Middle School,Middle,2022-04-22,Salem,OR,23:55:00
Mountain View Middle School,Middle,2022-04-22,Redding,CA,18:00:00
Hazelwood Central High School,High,2022-04-24,Florissant,MO,06:00:00
Marietta City Schools Bus Yard,Other,2022-04-25,Marietta,GA,21:00:00
Wisconsin Conservatory of Lifelong Learning,6-12,2022-04-25,Milwaukee,WI,15:00:00
Aspen Ridge School,K-8,2022-04-26,Ishpeming Township,MI,12:30:00
Southwest High School,High,2022-04-26,Macon,GA,22:30:00
Coquillard Elementary School,Elementary,2022-04-27,South Bend,IN,16:00:00
Morrill Elementary School,Elementary,2022-04-27,San Antonio,TX,20:18:00
McKee Middle School (McKee Stadium),Middle,2022-04-30,Jeannette City,PA,10:15:00
Hamilton Stem Academy,Elementary,2022-05-01,Columbus,OH,13:30:00
Louise A. Benton Middle School,Middle,2022-05-01,Manassas,VA,10:15:00
Arrowview Middle School,Middle,2022-05-03,San Bernardino,CA,05:45:00
Dothan City School Bus,K-12,2022-05-05,Dothan,AL,15:00:00
Lowellville K-12 School,K-12,2022-05-05,Lowellville,OH,10:30:00
Eden Ii Institute,Other,2022-05-09,Staten Island,NY,15:15:00
Riverside Elementary School,Elementary,2022-05-09,Suwanee,GA,07:15:00
Andrew Jackson High School,High,2022-05-11,Jacksonville,FL,15:00:00
Heights High School,High,2022-05-12,Houston,TX,13:15:00
Hot Springs High School,High,2022-05-12,Hot Springs,AR,19:00:00
Alexander W. Dreyfoos School of the Arts,High,2022-05-13,West Palm Beach,FL,12:00:00
Southwest High School,High,2022-05-13,Macon,GA,19:49:00
Belmont Elementary School,Elementary,2022-05-15,Belmont,NH,10:00:00
Meadow View Elementary School,Elementary,2022-05-15,Plainfield,IL,19:30:00
Mexia High School,High,2022-05-16,Mexia,TX,11:20:00
School Bus,Other,2022-05-17,San Francisco,CA,09:00:00
Walt Disney Magnet School,K-8,2022-05-17,Chicago,IL,10:00:00
Palmetto High School,High,2022-05-18,Palmetto,FL,21:30:00
Riverdale High School,High,2022-05-18,Murfreesboro,TN,21:30:00
East Kentwood High School,High,2022-05-19,Kentwood,MI,19:30:00
George Wythe High School,High,2022-05-19,Richmond,VA,14:13:00
Hammond High Magnet School,High,2022-05-19,Hammond,LA,20:00:00
Canal Winchester High School,High,2022-05-20,Canal Winchester,OH,15:00:00
East Lake Elementary School,Elementary,2022-05-20,Chattanooga,TN,05:00:00
Mary W Burroughs Elementary School,Elementary,2022-05-20,Theodore,AL,13:30:00
Potomac High School,High,2022-05-20,Dumfries,VA,08:19:00
South Elementary School,Elementary,2022-05-20,Pittsfield,IL,07:28:00
Simon Gratz High School,High,2022-05-23,Philadelphia,PA,14:45:00
Powell Elementary School,Elementary,2022-05-24,Washington,DC,16:15:00
Riverside University High School,High,2022-05-24,Milwaukee,WI,12:30:00
Robb Elementary School,Elementary,2022-05-24,Uvalde,TX,11:30:00
St. Margaret of Scotland School,K-12,2022-05-25,Chicago,IL,
Duff Elementary School,Elementary,2022-05-26,Arlington,TX,11:45:00
