Incident_ID,Date,Quarter,School,City,State,School_Level,Location,During_School,Time_Period,First_Shot,Bullied,Domestic_Violence,Gang_Related,Preplanned
19950105DCCAW,1995-01-05,Winter,Cardozo Senior High School,Washington,DC,High,Entryway,Yes,Lunch,12:30 PM,No,No,Yes,No
19950110FLPAP,1995-01-10,Winter,Palm Beach Gardens High School,Palm Beach Gardens,FL,High,Courtyard,Yes,Morning Classes,10:30 AM,No,No,No,No
19950112WAGAS,1995-01-12,Winter,Garfield High School,Seattle,WA,High,Cafeteria,Yes,,,,No,No,No
19950123CASAR,1995-01-23,Winter,Sacred Heart Middle School,Redlands,CA,Middle,Office; Other,Yes,,,No,No,No,No
19950124DCSPW,1995-01-24,Winter,Spingarn High School,Washington,DC,High,Entryway,Yes,Lunch,12:00 PM,No,No,,No
19950202CAJOL,1995-02-02,Winter,Jordan High School,Long Beach,CA,High,Field (General),No,Sport Event,,No,No,Yes,No
19950208NECHS,1995-02-08,Winter,Chadron Middle School,Scottsbluff,NE,Middle,Classroom,Yes,Morning Classes,,No,No,No,No
19950303MIPED,1995-03-03,Spring,Pershing High School,Detroit,MI,High,Hallway,Yes,Afternoon Classes,2:00 PM,No,No,,No
19950327MIRED,1995-03-27,Spring,Redford High School,Detroit,MI,High,Hallway,Yes,Morning Classes,10:00 AM,No,No,Yes,No
19950614FLLAL,1995-06-14,Summer,Lake Worth High School,Lake Worth,FL,High,Parking Lot,No,Dismissal,12:30 PM,No,No,No,No
19950829TXMEL,1995-08-29,Summer,Memorial Middle School,Laredo,TX,Middle,Bathroom,No,After School,4:15 PM,No,Yes,No,No
19950912TNCYM,1995-09-12,Fall,Cypress Junior High School,Memphis,TN,Junior High,Hallway,Yes,Morning Classes,8:30 AM,No,No,No,No
19950914KSOLO,1995-09-14,Fall,Olathe North High School,Olathe,KS,High,Parking Lot,No,Sport Event,,No,No,Yes,No
19950915KYGEW,1995-09-15,Fall,George Rogers Clark High School,Winchester,KY,High,Inside School Building,Yes,Afternoon Classes,,,No,No,No
19950927ALBLP,1995-09-27,Fall,Blount High School,Prichard,AL,High,Hallway,Yes,Morning Classes,11:00 AM,No,No,No,No
19950929FLTAT,1995-09-29,Fall,Tavares Middle School,Tavares,FL,Middle,Courtyard,Yes,Unknown,,Yes,No,Yes,No
19951012SCBLB,1995-10-12,Fall,Blackville-Hilda High School,Blackville,SC,High,Classroom,Yes,Morning Classes,8:40 AM,Yes,No,No,No
19951023FLLAC,1995-10-23,Fall,Lake Howell High School,Casselberry,FL,High,Parking Lot,Yes,School Start,7:55 AM,No,No,No,No
19951030VAJOR,1995-10-30,Fall,John F. Kennedy High School,Richmond,VA,High,Other,No,Dismissal,2:05 PM,No,No,Yes,No
19951102FLBLM,1995-11-02,Fall,Blue Lake Elementary School (bus),Miami Beach,FL,Elementary,School Bus,No,Before School,8:15 AM,No,No,No,No
19951115TNRIL,1995-11-15,Fall,Richland High School,Lynnville,TN,High,Hallway,Yes,School Start,,Yes,No,No,Yes
19951128NYTHN,1995-11-28,Fall,Thomas A. Edison Vocational and Technical High School,New York,NY,High,Parking Lot,Yes,Morning Classes,11:30 AM,No,No,No,No
19960102PAGIG,1996-01-02,Winter,Girard High School,Girard,PA,High,Hallway,,,,,,,No
19960119DCWIW,1996-01-19,Winter,Winston Education Center,Washington,DC,K-8,Other,Yes,Dismissal,,No,No,No,No
19960126TNEAM,1996-01-26,Winter,East High School,Memphis,TN,High,Parking Lot,No,Sport Event,9:45 PM,No,No,No,No
19960202WAFRM,1996-02-02,Winter,Frontier Middle School,Moses Lake,WA,Middle,Classroom,Yes,Afternoon Classes,,Yes,Yes,No,Yes
19960208CAMIM,1996-02-08,Winter,Mid-Peninsula High School,Menlo Park,CA,High,Basketball Court,Yes,Morning Classes,11:00 AM,No,No,No,No
19960222GAJES,1996-02-22,Winter,Jenkins High School,Savannah,GA,High,Front of School,No,Dismissal,,No,No,No,No
19960229MOBES,1996-02-29,Winter,Beaumont High School (bus),St. Louis,MO,High,School Bus,No,Before School,7:00 AM,No,No,No,No
19960311NCNON,1996-03-11,Spring,North Stanley High School,New Longdon,NC,High,Classroom,Yes,Afternoon Classes,,No,No,No,No
19960319NVSWL,1996-03-19,Spring,Swainston Middle School,Las Vegas,NV,Middle,Beside Building,Yes,Morning Classes,11:30 AM,,No,No,No
19960411ALTAT,1996-04-11,Spring,Talladega High School,Talladega,AL,High,Parking Lot,,,,No,No,,No
19960415DCMCW,1996-04-15,Spring,McKinley High School,Washington,DC,High,Gym,Yes,Unknown,,No,No,,No
19960514UTBIT,1996-05-14,Spring,Bingham Middle School,Taylorsville,UT,High,School Bus,,,,No,No,No,No
19960522CACOC,1996-05-22,Spring,Colton High School,Colton,CA,High,Outside on School Property,Yes,Afternoon Classes,2:20 PM,,No,Yes,No
19960604CAWEH,1996-06-04,Summer,West Valley High School,Hemet,CA,High,Inside School Building,Yes,School Start,,No,No,No,No
19960726CAJOL,1996-07-26,Summer,John Marshall High School,Los Angeles,CA,High,Hallway,Yes,Afternoon Classes,2:00 PM,No,No,No,No
19960925GADED,1996-09-25,Fall,Dekalb Alternative School,Decatur,GA,Unknown,Classroom,Yes,Unknown,,No,No,No,No
19961002PASMP,1996-10-02,Fall,Smedley Elementary School,Philadelphia,PA,Elementary,Parking Lot,Yes,Dismissal,,No,Yes,No,No
19961004CASTP,1996-10-04,Fall,St. Bernard High School,Playa Del Rey,CA,High,Football Field/Track,No,Sport Event,10:00 PM,No,No,,No
19961009ARJAS,1996-10-09,Fall,Jacksonville High School bus,Sherwood,AR,High,School Bus,No,,,No,No,No,No
19961014MOSUS,1996-10-14,Fall,Sumner High School,St. Louis,MO,High,Inside School Building,Yes,,,No,No,,No
19961127CAHIS,1996-11-27,Fall,Highlands High School,Sacramento,CA,High,Basketball Court,No,Evening,,N/A,N/A,N/A,N/A
19970108NYCRN,1997-01-08,Winter,Crown Heights High School,New York,NY,High,Basketball Court,Yes,Afternoon Classes,1:15 PM,No,No,Yes,No
19970127FLCOW,1997-01-27,Winter,Conniston Middle School,West Palm Beach,FL,Middle,Front of School,Yes,Before School,8:40 AM,No,No,No,No
19970206MSWIJ,1997-02-06,Winter,Wingfield High School,Jackson,MS,High,Parking Lot,Yes,Before School,8:30 AM,No,No,No,No
19970213NYMOB,1997-02-13,Winter,Morris High School,Bronx,NY,High,Hallway,Yes,Morning Classes,,No,No,No,No
19970213NYSAB,1997-02-13,Winter,Samuel Gompers High School,Bronx,NY,High,Beside Building,Yes,Dismissal,,No,No,No,No
19970219AKBEB,1997-02-19,Winter,Bethel Regional High School,Bethel,AK,High,Entryway,Yes,School Start,8:45 AM,Yes,No,No,Yes
19970220FLFIJ,1997-02-20,Winter,First Coast High School,Jacksonville,FL,High,Field (General),No,After School,,No,No,No,No
19970221NVRAL,1997-02-21,Winter,Rancho High School,Las Vegas,NV,High,Parking Lot,Yes,Dismissal,1:00 PM,No,No,Yes,No
19970317MIPED,1997-03-17,Spring,Pershing High School,Detroit,MI,High,Parking Lot,Yes,Dismissal,2:45 PM,No,No,No,No
