School,Type,Year,Date,Time,City,State,Race,Killed,Injured,Victims,Longitude,Latitude,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1
Sparks Middle School,Middle School,2013,10/21/2013,7:15 Am,Sparks,Nevada,H,1,2,3,-119.7694,39.5517,Ruger Sr9C Semi-Automatic Handgun (9Mm),Father,12.0,M,Student
Newman Elementary School,Elementary School,2013,10/23/2013,11:14 Am,Chino,California,Unknown,0,3,3,-117.7144,34.0271,Ar-15,Police Weapon,8.0,M,Student
West Orange High School,High School,2013,12/04/2013,1:15 Pm,Winter Garden,Florida,B,0,1,1,-81.5673,28.5428,Unknown,Unknown,17.0,M,Student
Arapahoe High School,High School,2013,12/13/2013,12:30 Pm,Centennial,Colorado,W,1,0,1,-104.9628,39.5817,Savage Arms Stevens Model 320 Pump-Action Shotgun,Legally Purchased By Shooter At Cabela'S,18.0,M,Student
Liberty Technology Magnet High School,High School,2014,01/09/2014,2:21 Pm,Jackson,Tennessee,B,0,1,1,-88.7593,35.675,Handgun,Unknown,16.0,M,Student
Berrendo Middle School,Middle School,2014,01/14/2014,7:30 Am,Roswell,New Mexico,W,0,3,3,-104.5115,33.4736,Shotgun,Unknown,12.0,M,Student
King Elementary School,Elementary School,2014,01/15/2014,2:48 Pm,Lancaster,Pennsylvania,Unknown,0,0,0,-76.2998,40.0344,Handgun,Unknown,Unknown,Unknown,Unknown
Delaware Valley Charter School,nan,2014,01/17/2014,3:20 Pm,Philadelphia,Pennsylvania,B,0,2,2,-75.1446,40.0331,Handgun,Purchased From Friend,17.0,M,Student
Rebound High School,High School,2014,01/27/2014,12:00 Pm,Carbondale,Illinois,B,0,1,1,-89.227812,37.727439,Handgun,Unknown,18.0,M,Student
President Theodore Roosevelt High,nan,2014,01/28/2014,8:30 Am,Honolulu,Hawaii,Unknown,0,1,1,-157.8372,21.3104,Unknown,Department Issued,Unknown,Unknown,Police Officer
Bend High School,High School,2014,02/07/2014,12:00 Pm,Bend,Oregon,Unknown,0,0,0,-121.2959,44.0523,Hunting Rifle,Legally Owned By Shooter,17.0,M,Student
Salisbury High School,High School,2014,02/10/2014,2:41 Pm,Salisbury,North Carolina,B,0,1,1,-80.4849,35.6648,9Mm Gun (Type Unknown),Unknown,17.0,M,Unknown
Success Academy,nan,2014,02/20/2014,10:30 Am,Raytown,Missouri,B,1,0,1,-94.5688,39.094,.45-Caliber Handgun ,Legally Purchased At Pawn Shop That Morning,42.0,M,Father Of Student
Benjamin Banneker High School,High School,2014,03/25/2014,1:00 Pm,College Park,Georgia,Unknown,0,0,0,-84.5176,33.593,Unknown,Unknown,Unknown,Unknown,Unknown
D. H. Conley High School,High School,2014,04/09/2014,1:30 Pm,Greenville,North Carolina,B,0,0,0,-77.3248,35.5306,.45-Caliber Handgun,Unknown,17.0,M,Student At Rival School
Reynolds High School,High School,2014,06/10/2014,8:07 Am,Troutdale,Oregon,W,1,1,2,-122.4026,45.5285,M4 Ar-15 Rifle,Brother,15.0,M,Student
Stellar Leadership Academy,nan,2014,09/09/2014,Unknown,Miami,Florida,Unknown,0,1,1,-80.243461,25.84814,Unknown,Unknown,Unknown,Unknown,Unknown
Fern Creek High School,High School,2014,09/30/2014,1:00 Pm,Louisville,Kentucky,B,0,1,1,-85.592357,38.156605,Handgun,Unknown,16.0,M,Student
Albemarle High School,High School,2014,09/30/2014,7:40 Am,Albemarle,North Carolina,Unknown,0,1,1,-80.193152,35.371268,Handgun,Unknown,15.0,M,Student
Marysville Pilchuck High School,High School,2014,10/24/2014,10:39 Am,Marysville,Washington,N,4,1,5,-122.154021,48.09582,.40-Caliber Beretta Px4 Storm Handgun,Father,15.0,M,Student
Hand In Hand Montessori,nan,2015,01/26/2015,3:07 Pm,Roseville,Minnesota,Unknown,0,0,0,-93.177024,45.004709,Unknown,Unknown,48.0,M,Unknown
North Thurston High School,High School,2015,04/27/2015,7:25 Am,Lacey,Washington,Unknown,0,0,0,-122.83241,47.051956,.357 Magnum,Father,16.0,M,Student
W.S. Hornsby Elementary School,Elementary School,2015,08/25/2015,10:45 Am,Augusta,Georgia,Unknown,0,1,1,-81.937992,33.459564,.380 Semi-Automatic Handgun,Grandmother'S Boyfriend,Unknown,M,Student
Harrisburg High School,High School,2015,09/30/2015,10:00 Am,Harrisburg,South Dakota,W,0,1,1,-96.6998,43.43212,Handgun,Unknown,16.0,M,Student
Karen Wagner High School,High School,2015,10/15/2015,9:15 Am,San Antonio,Texas,B,0,0,0,-98.3578,29.45738,Unknown,Unknown,22.0,F,Friend Of Student
Vereen School,nan,2015,11/05/2015,Unknown,Moultrie,Georgia,Unknown,0,0,0,-83.804368,31.175943,Semiautomatic Pistol,Department Issued,Unknown,M,Student
Lecanto High School,High School,2015,11/10/2015,10:30 Am,Lecanto,Florida,Unknown,0,0,0,-82.499153,28.824494,Walther P1 9Mm Semiautomatic Handgun,Unknown,15.0,M,Student
Harmony Grove High School,High School,2016,01/13/2016,3:00 Pm,Camden,Arkansas,Unknown,0,1,1,-92.7796,33.6514,Pistol,Unknown,17.0,M,Student
Benjamin Franklin High School,High School,2016,01/29/2016,12:00 Pm,Philadelphia,Pennsylvania,Unknown,0,0,0,-75.162,39.96367,.45-Caliber Handgun,Unknown,16.0,M,Unknown
Independence High School,High School,2016,02/12/2016,7:53 Am,Glendale,Arizona,Unknown,1,0,1,-112.221,33.53216,9Mm Beretta Pistol,"Classmate, Who Took From Parents",15.0,F,Student
Madison High School,High School,2016,02/29/2016,11:15 Am,Middletown,Ohio,W,0,4,4,-84.4433,39.53385,Sig Sauer P238,Family Home,14.0,M,Student
Huffman High School,High School,2016,03/15/2016,2:30 Pm,Birmingham,Alabama,B,0,1,1,-86.682,33.61291,Unknown,Unknown,19.0,M,Brother Of Student
Alpine High School,High School,2016,09/08/2016,9:00 Am,Alpine,Texas,Unknown,0,1,1,-103.665798,30.371983,9-Mm. Semi-Automatic Handgun,Unknown,14.0,F,Student
Townville Elementary School,Elementary School,2016,09/28/2016,1:45 Pm,Townville,South Carolina,W,1,2,3,-82.903471,34.56311,.40 Caliber Pistol,Father,14.0,M,Former Student
Cf Vigor High School,High School,2016,10/11/2016,3:45 Pm,Prichard,Alabama,B,0,1,1,-88.080692,30.743233,Unknown,Unknown,16.0,M,Unknown
Linden-Mckinley Stem Academy,nan,2016,10/13/2016,2:40 Pm,Columbus,Ohio,Unknown,0,2,2,-82.974011,40.00952,Unknown,Unknown,Unknown,M,Unknown
June Jordan High School For Equity,High School,2016,10/18/2016,3:20 Pm,San Francisco,California,Unknown,0,4,4,-122.425241,37.719558,Pistols,Unknown,Unknown,M,Unknown
Union Middle School,Middle School,2016,10/25/2016,3:00 Pm,Sandy,Utah,Unknown,0,1,1,-111.873061,40.60715,Unknown,Mother,14.0,M,Student
Bay City Western High School,High School,2016,11/11/2016,12:30 Pm,Auburn,Michigan,W,0,1,1,-84.0783,43.60478,.380-Caliber Sig Sauer Pistol,Legally Purchased By Shooter,50.0,M,Resource Officer
Mueller Park Jr. High,nan,2016,12/01/2016,8:13 Am,Bountiful,Utah,W,0,0,0,-111.861172,40.872489,12-Gauge Shotgun,Parent,15.0,M,Student
West Liberty-Salem Middle/High School,High School,2017,01/20/2017,7:36 Am,West Liberty,Ohio,W,0,2,2,-83.756761,40.21594,Mossberg Model 500 12 Gauge Shotgun,Gift From Grandparents,17.0,M,Student
Scotlandville Magnet High School,High School,2017,02/06/2017,12:00 Pm,Baton Rouge,Louisiana,Unknown,0,0,0,-91.177851,30.53365,Handgun,Unknown,14.0,M,Student
Robert E. Lee High School,High School,2017,03/16/2017,3:00 Pm,Montgomery,Alabama,M,0,1,1,-86.271649,32.378702,.40-Caliber Handgun,Unknown,16.0,M,Student
North Park Elementary School,Elementary School,2017,04/10/2017,10:30 Am,San Bernardino,California,B,2,1,3,-117.301804,34.179206,Smith & Wesson .357 Magnum Revolver,Unknown,53.0,M,Husband Of Teacher
Moss Bluff Elementary School,Elementary School,2017,05/15/2017,7:50 Am,Lake Charles,Louisiana,W,0,1,1,-93.2032,30.29966,.380 Caliber Semi-Automatic Handgun,"Father'S Gun, Kept By 17 Year Old Who Shared Room With Shooter",7.0,M,Student
Greensboro High School,High School,2017,05/24/2017,11:30 Am,Greensboro,Alabama,Unknown,0,0,0,-87.589,32.70713,.22 Caliber Revolver,Unknown,Unknown,M,Student
Warren Elementary School,Elementary School,2017,06/16/2017,1:51 Pm,Chicago,Illinois,B,0,2,2,-87.575184,41.726922,Unknown,Unknown,Unknown,M,Unknown
Columbus Scioto 6-12,nan,2017,09/08/2017,8:33 Am,Columbus,Ohio,B,0,0,0,-82.9958,39.90163,.38-Caliber Handgun,Unknown,18.0,M,Unknown
Freeman High School,High School,2017,09/13/2017,10:00 Am,Rockford,Washington,W,1,3,4,-117.19638,47.519667,"Ar-15, Pistol",Father,15.0,M,Student
Mattoon High School,High School,2017,09/20/2017,11:30 Am,Mattoon,Illinois,W,0,1,1,-88.386955,39.474405,.40-Caliber Ruger Semiautomatic Pistol,Stepfather,14.0,M,Student
Pattengill Academy,nan,2017,11/03/2017,4:30 Pm,Lansing,Michigan,B,0,1,1,-84.5243,42.73889,Handgun,Puchased Legally By Shooter From Dicker & Deal,21.0,M,Unknown
Benjamin Banneker High School,High School,2017,11/09/2017,3:25 Pm,College Park,Georgia,Unknown,0,2,2,-84.5176,33.59297,Small-Caliber Handgun,Unknown,Unknown,Unknown,Unknown
Rancho Tehama Elementary School,Elementary School,2017,11/14/2017,7:50 Am,Corning,California,W,0,2,2,-122.398455,40.015716,Handmade Ar-15-Type Rifle,Contructed From Parts Legally Purchased By Shooter,44.0,M,Had Beef With Family Of Student At School
Aztec High School,High School,2017,12/07/2017,8:04 Am,Aztec,New Mexico,W,2,0,2,-107.990379,36.820644,9Mm Glock,Legally Purchased By Shooter,21.0,M,Former Student
High Point Central High School,High School,2017,12/11/2017,2:08 Pm,High Point,North Carolina,B,0,0,0,-80.0231,35.95795,Handgun,Unknown,15.0,M,Unknown
The Net Charter High School,High School,2018,01/22/2018,1:30 Pm,New Orleans,Louisiana,Unknown,0,0,0,-90.079691,29.93996,Unknown,Unknown,Unknown,Unknown,Unknown
Italy High School,High School,2018,01/22/2018,7:53 Am,Italy,Texas,W,0,1,1,-96.878968,32.181129,Semi-Automatic .380 Caliber Handgun,Unknown,16.0,M,Student
Marshall County High School,High School,2018,01/23/2018,7:57 Am,Benton,Kentucky,W,2,14,16,-88.332917,36.912835,Handgun,Stepfather'S Bedroom,15.0,M,Student
Murphy High School,High School,2018,01/25/2018,11:20 Am,Mobile,Alabama,B,0,0,0,-88.0867,30.6828,Revolver,Stolen,16.0,M,Student
Salvador B. Castro Middle School,Middle School,2018,02/01/2018,9:00 Am,Los Angeles,California,Unknown,0,5,5,-118.265,34.06169,Semi-Automatic Handgun,Unknown,12.0,F,Student
Marjory Stoneman Douglas High School,High School,2018,02/14/2018,2:21 Pm,Parkland,Florida,W,17,17,34,-80.269365,26.304483,Smith & Wesson M&P15,Legally Purchased By Shooter,19.0,M,Former Student (Expelled)
Dalton High School,High School,2018,02/28/2018,11:30 Am,Dalton,Georgia,W,0,0,0,-84.99053,34.77972,.38-Caliber Snub-Nosed Revolver,Unknown,53.0,M,Teacher
Huffman High School,High School,2018,03/07/2018,3:45 Pm,Birmingham,Alabama,B,1,0,1,-86.682,33.61291,Pistol,Unknown,17.0,M,Student
Seaside High School,High School,2018,03/13/2018,1:20 Pm,Seaside,California,W,0,3,3,-121.838,36.62444,Glock 21 .45-Caliber Handgun,Department Issued,Unknown,M,Teacher
Big Sky High School,High School,2018,03/16/2018,12:45 Pm,Missoula,Montana,Unknown,0,0,0,-114.057737,46.850867,Pistol,Department Issued,Unknown,M,Resource Officer
Douglass Park Elementary School,Elementary School,2018,03/19/2018,4:23 Pm,Portsmouth,Virginia,Unknown,0,1,1,-76.3393,36.81828,Unknown,Unknown,Unknown,Unknown,Unknown
Great Mills High School,High School,2018,03/20/2018,7:55 Am,Great Mills,Maryland,W,1,1,2,-76.4875,38.24743,Glock Semi-Automatic Handgun,Father,17.0,M,Student
Eupora High School,High School,2018,03/28/2018,2:40 Pm,Europa,Mississippi,W,0,0,0,-89.274143,33.543141,9Mm Handgun,Unknown,20.0,M,Unknown
Jackson High School,High School,2018,04/19/2018,1:44 Pm,Jackson,Michigan,Unknown,0,0,0,-84.4185,42.2499,Handgun,Unknown,Unknown,Unknown,Unknown
Forest High School,High School,2018,04/20/2018,8:39 Am,Ocala,Florida,Unknown,0,1,1,-82.066682,29.14362,Shotgun,Unknown,19.0,M,Former Student
Benjamin Elijah Mays High School,High School,2018,04/23/2018,1:00 Pm,Atlanta,Georgia,B,0,0,0,-84.5038,33.7339,Unknown,Unknown,19.0,M,Unknown
Highland High School,High School,2018,04/25/2018,2:30 Pm,Albuquerque,New Mexico,H,0,1,1,-106.592413,35.074841,Handgun,Owner'S Gun,Unknown,M,Father Of Student
Highland High School,High School,2018,05/11/2018,7:05 Am,Palmdale,California,Unknown,0,1,1,-118.175561,34.591755,Rifle,Unknown,14.0,M,Student
Dixon High School,High School,2018,05/16/2018,8:00 Am,Dixon,Illinois,W,0,0,0,-89.488508,41.847128,Rifle,Mother,19.0,M,Student
Santa Fe High School,High School,2018,05/18/2018,7:30 Am,Santa Fe,Texas,W,10,13,23,-95.143149,29.393257,Remington 870 Shotgun And A .38-Caliber Revolver,Unknown,17.0,M,Student
Noblesville West Middle School,Middle School,2018,05/25/2018,9:06 Am,Noblesville,Indiana,Unknown,0,2,2,-86.029001,40.07825,".22 Caliber Gun, .45 Caliber Gun",Unknown,13.0,M,Student
Villa Heights Elementary School,Elementary School,2018,08/30/2018,7:30 Am,Charlotte,North Carolina,B,0,0,0,-80.812768,35.236843,.45 Caliber Pistol,Stolen,34.0,M,Former Boyfriend Of Student'S Mother
Canyon Springs High School,High School,2018,09/11/2018,2:35 Pm,North Las Vegas,Nevada,B,1,0,1,-115.135695,36.233566,Unknown,Unknown,16.0,M,Student
Lawrence Orr Elementary School,Elementary School,2018,09/24/2018,9:00 Am,Charlotte,North Carolina,B,0,0,0,-80.743914,35.225991,Unknown,Unknown,24.0,M,Unknown
Denali Montessori Elementary School,Elementary School,2018,10/03/2018,10:00 Am,Anchorage,Alaska,B,0,1,1,-149.881113,61.213281,Sig Sauer .40 Caliber Handgun,Unknown,26.0,M,Boyfriend Of Parent
Battle Creek Academy,nan,2018,10/12/2018,1:00 Pm,Battle Creek,Michigan,Unknown,0,0,0,-85.207497,42.33419,Unknown,Unknown,Unknown,Unknown,Unknown
Paul Laurence Dunbar School,nan,2018,10/22/2018,8:15 Am,Bridgeport,Connecticut,Unknown,0,0,0,-73.164585,41.177547,Handgun,Unknown,18.0,M,Unknown
Butler High School,High School,2018,10/29/2018,7:00 Am,Matthews,North Carolina,B,1,0,1,-80.6916,35.1203,.380 Pistol,Stolen,16.0,M,Student
Simonsdale Elementary School,Elementary School,2018,11/20/2018,3:45 Pm,Portsmouth,Virginia,B,0,1,1,-76.36628,36.82682,Handgun,Unknown,29.0,M,Parent Of Student
Dennis Intermediate School,nan,2018,12/13/2018,8:00 Am,Richmond,Indiana,Unknown,0,0,0,-84.9114,39.832,Handgun And A Rifle,Unknown,14.0,M,Student
Cascade Middle School,Middle School,2019,01/11/2019,10:30 Am,Eugene,Oregon,Unknown,0,0,0,-123.1667,44.0788,Handgun,Unknown,30.0,M,Father Of Student
North High School,High School,2019,01/16/2019,12:30 Pm,Minneapolis,Minnesota,Unknown,0,0,0,-93.300234,44.994017,Unknown,Unknown,Unknown,Unknown,Unknown
Frederick Douglass High School,High School,2019,02/08/2019,12:00 Pm,Baltimore,Maryland,Unknown,0,1,1,-76.6549,39.3148,Smith And Wesson .40 Caliber Gun,Unknown,25.0,M,Brother Of Student
V. Sue Cleveland High School,High School,2019,02/14/2019,7:15 Am,Rio Rancho,New Mexico,Unknown,0,0,0,-106.641929,35.312773,.45 Caliber Handgun,Unknown,16.0,M,Student
Robert E. Lee High School,High School,2019,02/26/2019,11:00 Am,Montgomery,Alabama,B,0,1,1,-86.271649,32.378702,.40-Caliber Handgun,Stolen From Neighbor,16.0,M,Student
Highlands Elementary School,Elementary School,2019,03/01/2019,1:30 Pm,Mission,Kansas,W,0,0,0,-94.6409,39.0168,Handgun,Unknown,26.0,M,Neighbor Of School
Blountsville Elementary School,Elementary School,2019,03/22/2019,12:30 Pm,Blountsville,Alabama,W,0,1,1,-86.586,34.0847,Taurus .380 Pistol,Legally Purchased By Shooter,72.0,M,Substitute Teacher
Prescott High School,High School,2019,04/01/2019,9:14 Am,Prescott,Arkansas,Unknown,0,1,1,-93.377376,33.791237,Handgun,Unknown,14.0,Unknown,Student
New Joseph Bonnheim Community Charter School,nan,2019,04/03/2019,1:45 Pm,Sacramento,California,Unknown,0,0,0,-121.4182,38.5333,Unknown,Unknown,Unknown,Unknown,Unknown
Saint Clair Evans Academy,nan,2019,04/03/2019,11:00 Am,Jacksonville,Florida,Unknown,0,0,0,-81.695138,30.371086,Unknown,Unknown,Unknown,Unknown,Unknown
Flex High School,High School,2019,04/17/2019,10:00 Am,Flint,Michigan,Unknown,0,0,0,-83.73516,43.059497,Unknown,Unknown,16.0,Unknown,Student
Stem School Highlands Ranch,nan,2019,05/07/2019,1:52 Pm,Highlands Ranch,Colorado,W,1,8,9,-104.9979,39.5559,"Glock 21 .45-Caliber Semi-Automatic Pistol, Beretta M9 9Mm Semi-Automatic Pistol, Taurus Revolver And A Ruger 10/22 .22-Caliber Semi-Automatic Rifle",Parent,16.0,M,Student
Menta Academy North,nan,2019,06/10/2019,1:45 Pm,Waukegan,Illinois,H,0,0,0,-87.83950925,42.35333175,2 Handguns,Unknown,27.0,M,Unknown
Hendley Elementary School,Elementary School,2019,06/12/2019,4:20 Pm,Washington,District Of Columbia,Unknown,0,0,0,-76.999555,38.828872,Unknown,Unknown,Unknown,Unknown,Unknown
Blount Elementary School,Elementary School,2019,08/08/2019,7:26 Am,Montgomery,Alabama,B,0,0,0,-86.1324,32.3106,Pistol,Unknown,38.0,M,Father Of Student
Hollenbeck Middle School,Middle School,2019,08/27/2019,11:00 Am,Los Angeles,California,Unknown,0,1,1,-118.212583,34.036765,Unknown,Unknown,Unknown,Unknown,Unknown
South Aiken High School,High School,2019,09/10/2019,Unknown,Aiken,South Carolina,Unknown,0,0,0,-81.71303,33.521766,Unknown,Unknown,Unknown,Unknown,Unknown
Aiton Elementary School,Elementary School,2019,09/25/2019,Unknown,Washington,District Of Columbia,Unknown,0,0,0,-76.933728,38.896669,Unknown,Unknown,Unknown,Unknown,Unknown
Ridgway High School,High School,2019,10/22/2019,9:00 Am,Santa Rosa,California,Unknown,0,1,1,-122.7226,38.4497,Unknown,Unknown,17.0,Unknown,Student
Achievement Academy,nan,2019,11/11/2019,2:00 Pm,Baltimore,Maryland,Unknown,0,1,1,-76.571382,39.366066,Unknown,Unknown,Unknown,Unknown,Unknown
Esteban Torres High School,High School,2019,11/13/2019,9:00 Am,Los Angeles,California,Unknown,1,0,1,-118.175531,34.041846,Unknown,Police,Unknown,Unknown,Sheriff'S Deputy
Saugus High School,High School,2019,11/14/2019,7:38 Am,Saugus,California,Unknown,2,3,5,-118.518128,34.441924,.45 Caliber 1911 Pistol,Ghost Gun,16.0,M,Student
Waukesha South High School,High School,2019,12/02/2019,9:00 Am,Waukesha,Wisconsin,W,0,1,1,-88.2237,42.993,Handgun,Department Issued,Unknown,M,Resource Officer
Oshkosh West High School,High School,2019,12/03/2019,9:00 Am,Oshkosh,Wisconsin,W,0,1,1,-88.5736,44.0225,Handgun,Department Issued,Unknown,M,Resource Officer
Decatur High School,High School,2019,12/10/2019,8:20 Am,Decatur,Alabama,Unknown,0,0,0,-86.97216,34.593282,Unknown,Unknown,22.0,M,Unknown
Sacred Heart School,nan,2019,12/10/2019,12:45 Pm,Jersey City,New Jersey,Unknown,0,0,0,-74.083408,40.706963,Unknown,Unknown,Unknown,Unknown,Unknown
Catholic Academy Of New Haven,nan,2019,12/16/2019,9:00 Am,New Haven,Connecticut,B,0,0,0,-72.963177,41.325823,Unknown,Unknown,Unknown,M,Unknown
Bellaire High School,High School,2020,01/14/2020,4:00 Pm,Bellaire,Texas,Unknown,1,0,1,-95.469159,29.692163,.32 Caliber Semi-Automatic Pistol,Unknown,16.0,M,Student
Mcauliffe Elementary School,Elementary School,2020,01/23/2020,11:30 Am,Oxnard,California,Unknown,0,1,1,-119.2135,34.1876,Unknown,Unknown,Unknown,Unknown,Unknown
West High School,High School,2020,02/13/2020,3:00 Pm,Salt Lake City,Utah,Unknown,0,0,0,-111.900444,40.774742,Unknown,Unknown,Unknown,Unknown,Student
Antioch High School,High School,2020,02/19/2020,9:30 Am,Antioch,California,Unknown,0,0,0,-121.8163,38.0063,Unknown,Unknown,15.0,M,Unknown
Cesar Chavez Community School,nan,2020,02/21/2020,11:00 Am,Albuquerque,New Mexico,Unknown,0,0,0,-106.583882,35.059669,Unknown,Unknown,Unknown,Unknown,Unknown
Sagemont School,nan,2020,03/05/2020,12:00 Pm,Weston,Florida,B,0,1,1,-80.424081,26.13796,Unknown,Unknown,55.0,M,Security Guard
Ribault High School,High School,2020,10/09/2020,2:00 Pm,Jacksonville,Florida,Unknown,0,1,1,-81.7073,30.3906,.380-Caliber Handgun,Unknown,18.0,Unknown,Unknown
Lincoln Elementary School,Elementary School,2020,11/13/2020,2:00 Pm,Leland,North Carolina,Unknown,0,1,1,-78.0429,34.2618,Unknown,Unknown,Unknown,Unknown,Unknown
Hendersonville Middle School,Middle School,2020,11/24/2020,7:45 Am,Hendersonville,North Carolina,Unknown,0,1,1,-82.473,35.3219,Unknown,Unknown,12.0,M,Unknown
Watson Chapel Junior High,Middle School,2021,03/01/2021,9:55 Am,Pine Bluff,Arkansas,B,1,0,1,-92.065921,34.189927,Handgun,Unknown,15.0,M,Unknown
Wayne Central Middle School,Middle School,2021,03/01/2021,9:40 Am,Ontario,New York,W,0,1,1,-77.3036,43.2197,Smith And Wesson M&P .45 Caliber Handgun,Sro,19.0,M,Employee
Achievement First Amistad High School,High School,2021,03/04/2021,8:10 Am,New Haven,Connecticut,Unknown,0,0,0,-72.9357119,41.32981839,Unknown,Unknown,Unknown,Unknown,Unknown
Edwards Elementary School,Elementary School,2021,03/08/2021,1:30 Pm,Chesterfield,South Carolina,Unknown,0,1,1,-80.11771,34.737634,Unknown,Unknown,54.0,Unknown,Unknown
Bishop Hartley High School,High School,2021,03/09/2021,8:50 Am,Columbus,Ohio,Unknown,0,0,0,-82.910821,39.94497,Unknown,Unknown,Unknown,Unknown,Unknown
Selma High School,High School,2021,04/01/2021,1:00 Pm,Selma,Alabama,B,0,0,0,-87.022637,32.428416,Handgun,Unknown,15.0,M,Unknown
Austin-East Magnet High,nan,2021,04/12/2021,3:15 Pm,Knoxville,Tennessee,B,0,1,1,-83.887,35.9901,Glock 45 Handgun,Unknown,17.0,M,Unknown
Ply_Mouth Middle School,Middle School,2021,04/26/2021,8:44 Am,Ply_Mouth,Minnesota,W,0,0,0,-93.406233,45.020964,Handgun,Father'S Bedroom,12.0,M,Unknown
Smyrna Middle School,Middle School,2021,04/27/2021,10:25 Am,Smyrna,Delaware,B,1,0,1,-75.623778,39.302595,Handgun,Unknown,47.0,M,Unknown
Urban Dove Team Charter School,nan,2021,04/29/2021,2:45 Pm,Brooklyn,New York,B,1,0,1,-73.954975,40.622473,Unknown,Unknown,15.0,M,Unknown
Mary Evelyn Castle Elementary School,Elementary School,2021,04/30/2021,1:00 Pm,Indianapolis,Indiana,Unknown,0,1,1,-86.018,39.9081,Unknown,Unknown,32.0,M,Unknown
Ware Shoals High School,High School,2021,05/05/2021,8:00 Am,Ware Shoals,South Carolina,W,0,0,0,-82.238603,34.393145,Handgun,Mom'S Gun; Kept In Her Car,15.0,M,Unknown
Rigby Middle School,Middle School,2021,05/06/2021,9:00 Am,Rigby,Idaho,Unknown,0,3,3,-111.941927,43.668498,Handgun,Unknown,Unknown,F,Student
North Forest High School,High School,2021,06/09/2021,10:30 Am,Houston,Texas,Unknown,0,1,1,-95.259744,29.867029,Unknown,Unknown,Unknown,Unknown,Unknown
Saint Francis De Sales School,nan,2021,08/06/2021,1:00 Pm,Houma,Louisiana,B,0,1,1,-90.734161,29.60752,Unknown,Unknown,17.0,M,Unknown
Lithonia High School,High School,2021,08/12/2021,3:00 Pm,Lithonia,Georgia,Unknown,0,1,1,-84.1294,33.725,Handgun,Unknown,Unknown,Unknown,Resource Officer
Washington Middle School,Middle School,2021,08/13/2021,12:45 Pm,Albuquerque,New Mexico,Unknown,1,0,1,-106.661691,35.086144,Handgun,Unknown,13.0,M,Unknown
Orangeburg-Wilkinson High School,High School,2021,08/18/2021,4:00 Pm,Orangeburg,South Carolina,Unknown,0,3,3,-80.836538,33.524095,Unknown,Unknown,14.0,M,Unknown
New Hanover High School,High School,2021,08/30/2021,11:00 Am,Wilmington,North Carolina,B,0,1,1,-77.9324,34.2374,Unknown,Unknown,15.0,M,Unknown
Mount Tabor High School,High School,2021,09/01/2021,12:00 Pm,Winston-Salem,North Carolina,Unknown,1,0,1,-80.3132,36.1268,Unknown,Unknown,15.0,M,Unknown
Lavergne High School,High School,2021,09/07/2021,3:30 Pm,Lavergne,Tennessee,Unknown,0,0,0,-86.5597,35.9887,Unknown,Unknown,15.0,M,Unknown
Tri-County Education Center,nan,2021,09/08/2021,2:30 Pm,Ferndale,Michigan,Unknown,0,0,0,-83.159362,42.450386,Unknown,Unknown,Unknown,M,Unknown
Heritage High School,High School,2021,09/20/2021,11:39 Am,Newport News,Virginia,Unknown,0,2,2,-76.4272,37.0063,Unknown,Unknown,15.0,M,Unknown
Newton County Elementary School,Elementary School,2021,09/30/2021,1:45 Pm,Decatur,Mississippi,Unknown,0,1,1,-89.105538,32.446371,Handgun,Boyfriend Of Child'S Mother,Unknown,M,Student
Cummings K-8 Optional School,nan,2021,09/30/2021,10:00 Am,Memphis,Tennessee,Unknown,0,1,1,-90.0283,35.1189,Unknown,Unknown,13.0,M,Unknown
Yes Prep Southwest Secondary,nan,2021,10/01/2021,11:45 Am,Houston,Texas,Unknown,0,1,1,-95.44306,29.605766,Unknown,Unknown,25.0,M,Former Student
Timberview High School,High School,2021,10/06/2021,9:15 Am,Arlington,Texas,B,0,4,4,-97.076321,32.622073,Handgun,Unknown,18.0,M,Student
Little Rock Central High School,High School,2021,10/12/2021,11:27 Am,Little Rock,Arkansas,Unknown,0,0,0,-92.298954,34.736827,Unknown,Unknown,Unknown,Unknown,Unknown
Wendell Phillips Academy High School,High School,2021,10/12/2021,3:15 Pm,Chicago,Illinois,Unknown,0,2,2,-87.6199,41.8244,Unknown,Unknown,Unknown,Unknown,Unknown
James Mcdade Classical School,nan,2021,10/13/2021,8:38 Am,Chicago,Illinois,Unknown,0,0,0,-87.6188,41.7344,Unknown,Unknown,Unknown,Unknown,Unknown
Cathedral School,nan,2021,10/26/2021,9:20 Am,Natchez,Mississippi,Unknown,0,0,0,-91.394805,31.562163,Unknown,Unknown,Unknown,Unknown,Unknown
Poughkeepsie High School,High School,2021,11/15/2021,3:15 Pm,Poughkeepsie,New York,Unknown,0,0,0,-73.9138,41.6948,.38-Caliber Handgun,Unknown,13.0,M,Student
P.S. 44,nan,2021,11/16/2021,2:15 Pm,Bronx,New York,Unknown,0,0,0,-73.891,40.8425,Handgun,Unknown,45.0,M,Unknown
Hinkley High School,High School,2021,11/19/2021,12:00 Pm,Aurora,Colorado,Unknown,0,3,3,-104.8086,39.7349,Unknown,Unknown,16.0,Unknown,Student
